Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
25	-1230.228	-1236.398	6.170037	0.01406666	0.2482835	0.0104646	0.184705	0.0176687	0.311862	0.743927	1.25607	0.3882955	0.769587	1.2994	0.0140667	0.248284	0.0159871	0.0159871	0.0159871	0.1239692	0.05791643	0.0823226	0.0384598	0.165616	0.0773731	0.664056	1.33594	0.5181886	0.705031	1.41838	0.123969	0.0579164	0.0569862	0.00267869
26	-1225.473	-1236.014	10.54109	0.0001216467	0.1945282	6.31421e-05	0.100972	0.000180151	0.288084	0.519062	1.48094	0.7771866	0.592026	1.68911	0.000121647	0.194528	0.002860372	0.00286037	0.00286037	0.1357593	0.06424047	0.09504	0.0449724	0.176479	0.0835086	0.700063	1.29994	0.4587924	0.73385	1.36268	0.135759	0.0642405	0.0569862	0.0147639
27	-1225.338	-1236.706	11.36732	0.0003050842	0.1945282	0.00027345	0.174358	0.000336718	0.214699	0.89631	1.10369	0.1542851	0.901168	1.10967	0.000305084	0.194528	0.0278419	0.0278419	0.0278419	0.1444737	0.04457848	0.105016	0.0324034	0.183932	0.0567536	0.726884	1.27312	0.415467	0.755611	1.32343	0.144474	0.0445785	0.0414751	0.00286104
28	-1227.851	-1236.462	8.61132	0.0003050842	0.2315364	0.000276331	0.209715	0.000333837	0.253358	0.905755	1.09425	0.1401439	0.909804	1.09914	0.000305084	0.231536	0.0278419	0.0278419	0.0278419	0.1312129	0.04913754	0.0953765	0.0357173	0.167049	0.0625578	0.726884	1.27312	0.415467	0.755611	1.32343	0.131213	0.0491375	0.0414751	0.0234091
29	-1225.261	-1241.317	16.05532	0.0001186358	0.2521927	0.000107455	0.228425	0.000129817	0.275961	0.905755	1.09425	0.1401439	0.909804	1.09914	0.000118636	0.252193	0.01113395	0.0111339	0.0111339	0.1490365	0.04405325	0.101961	0.0301384	0.196112	0.0579681	0.684136	1.31586	0.4848784	0.721051	1.38686	0.149037	0.0440533	0.0254102	0.00316171
30	-1226.325	-1238.067	11.74226	0.00130043	0.2450068	0.000902587	0.170051	0.00169827	0.319962	0.694068	1.30593	0.4685777	0.729022	1.3717	0.00130043	0.245007	0.004985532	0.00498553	0.00498553	0.1237337	0.04372848	0.0846507	0.0299162	0.162817	0.0575407	0.684136	1.31586	0.4848784	0.721051	1.38686	0.123734	0.0437285	0.0394798	0.00771939
31	-1224.517	-1234.251	9.733938	0.0002379532	0.2440672	0.000165156	0.169399	0.000310751	0.318735	0.694068	1.30593	0.4685777	0.729022	1.3717	0.000237953	0.244067	0.02516287	0.0251629	0.0251629	0.1237337	0.04372848	0.0525603	0.0185752	0.194907	0.0688817	0.424786	1.57521	0.971521	0.519296	1.92568	0.123734	0.0437285	0.0453111	0.00444586
32	-1227.734	-1234.696	6.961312	0.0006303036	0.4730764	0.000437474	0.328347	0.000823134	0.617805	0.694068	1.30593	0.4685777	0.729022	1.3717	0.000630304	0.473076	0.02603346	0.0260335	0.0260335	0.09660289	0.02444469	0.0265269	0.00671244	0.166679	0.0421769	0.274597	1.7254	1.362446	0.398935	2.50667	0.0966029	0.0244447	0.0573359	0.00180771
33	-1228.387	-1234.317	5.930287	0.005260244	0.4730764	0.00453016	0.407417	0.00599032	0.538736	0.861208	1.13879	0.2071099	0.869625	1.14992	0.00526024	0.473076	0.01406356	0.0140636	0.0140636	0.1116345	0.002820093	0.0306545	0.000774389	0.192614	0.0048658	0.274597	1.7254	1.362446	0.398935	2.50667	0.111634	0.00282009	0.075402	0.00651426
34	-1225.32	-1232.243	6.923031	0.0005639569	0.4510013	0.000485684	0.388406	0.00064223	0.513597	0.861208	1.13879	0.2071099	0.869625	1.14992	0.000563957	0.451001	0.01015321	0.0101532	0.0101532	0.1116345	0.0126917	0.0269627	0.00306538	0.196306	0.022318	0.241527	1.75847	1.471647	0.370608	2.69827	0.111634	0.0126917	0.0823364	0.000318407
35	-1225.766	-1232.621	6.854406	0.0002607214	0.2983862	0.000224535	0.256973	0.000296907	0.3398	0.861208	1.13879	0.2071099	0.869625	1.14992	0.000260721	0.298386	0.01767177	0.0176718	0.0176718	0.1268937	0.05263365	0.0465232	0.0192971	0.207264	0.0859702	0.366631	1.63337	1.107537	0.473775	2.11071	0.126894	0.0526336	0.075726	0.00195483
36	-1226.517	-1231.09	4.573332	0.0001850418	0.5939188	0.000165851	0.532322	0.000204233	0.655516	0.896287	1.10371	0.1543196	0.901147	1.1097	0.000185042	0.593919	0.01767177	0.0176718	0.0176718	0.1026852	0.024102	0.00566535	0.00132976	0.199705	0.0468742	0.0551721	1.94483	2.640864	0.16843	5.93719	0.102685	0.024102	0.0692911	0.0116071
37	-1232.284	-1231.407	-0.8768513	0.008054596	0.5898248	0.00750538	0.549607	0.00860381	0.630043	0.931814	1.06819	0.10125	0.933988	1.07068	0.0080546	0.589825	0.01247997	0.01248	0.01248	0.1026852	0.03194878	0.00566535	0.00176268	0.199705	0.0621349	0.0551721	1.94483	2.640864	0.16843	5.93719	0.102685	0.0319488	0.0692911	0.02857
38	-1228.429	-1232.177	3.748325	0.008054596	0.6153289	0.00787812	0.601847	0.00823107	0.628811	0.97809	1.02191	0.03248849	0.978325	1.02216	0.0080546	0.615329	0.01139565	0.0113956	0.0113956	0.1026852	0.1896405	0.0301749	0.0557275	0.175195	0.323554	0.293859	1.70614	1.303868	0.415013	2.40956	0.102685	0.189641	0.0660355	0.000919616
39	-1227.719	-1232.955	5.236563	0.00606396	0.6487649	0.0059311	0.634551	0.00619682	0.662979	0.97809	1.02191	0.03248849	0.978325	1.02216	0.00606396	0.648765	0.009888283	0.00988828	0.00988828	0.1097643	0.1896405	0.0436271	0.0753749	0.175902	0.303906	0.397462	1.60254	1.033556	0.498016	2.00797	0.109764	0.189641	0.0607291	0.000919616
40	-1229.908	-1233.965	4.056814	0.00606396	0.6487649	0.00540492	0.578256	0.006723	0.719274	0.891318	1.10868	0.1617709	0.896629	1.11529	0.00606396	0.648765	0.02576635	0.0257663	0.0257663	0.1066078	0.1896405	0.0434892	0.0773612	0.169726	0.30192	0.407936	1.59206	1.009412	0.506193	1.97553	0.106608	0.189641	0.0529757	0.000919616
41	-1226.85	-1237.637	10.78673	0.0003947196	0.3945221	0.000390034	0.389839	0.000399405	0.399206	0.988129	1.01187	0.01760097	0.988199	1.01194	0.00039472	0.394522	0.00114476	0.00114476	0.00114476	0.0918459	0.03197554	0.0374673	0.013044	0.146225	0.0509071	0.407936	1.59206	1.009412	0.506193	1.97553	0.0918459	0.0319755	0.0529757	0.0150816
42	-1225.876	-1234.801	8.924979	0.0003947196	0.4400521	0.000390034	0.434828	0.000399405	0.445276	0.988129	1.01187	0.01760097	0.988199	1.01194	0.00039472	0.440052	0.00114476	0.00114476	0.00114476	0.1029255	0.07442608	0.030144	0.0217973	0.175707	0.127055	0.292872	1.70713	1.306791	0.414196	2.41432	0.102926	0.0744261	0.055244	0.0150816
43	-1226.107	-1233.386	7.27971	0.0004806802	0.4400521	0.000479465	0.43894	0.000481895	0.441165	0.997472	1.00253	0.003748145	0.997475	1.00253	0.00048068	0.440052	0.001790972	0.00179097	0.00179097	0.1029255	0.07442608	0.0391834	0.0283337	0.166668	0.120518	0.380696	1.6193	1.073218	0.48487	2.06241	0.102926	0.0744261	0.071135	0.0132915
44	-1232.157	-1228.51	-3.647178	0.001672549	0.4061289	0.00157469	0.382368	0.0017704	0.42989	0.941493	1.05851	0.08684173	0.943109	1.06032	0.00167255	0.406129	0.06443147	0.0644315	0.0644315	0.1270185	0.07442608	0.011827	0.00693	0.24221	0.141922	0.0931126	1.90689	2.238298	0.220974	4.52541	0.127019	0.0744261	0.068084	0.0122737
45	-1229.299	-1230.963	1.663599	0.005735563	0.3982437	0.0037271	0.258788	0.00774402	0.537699	0.649824	1.35018	0.5421057	0.693749	1.44144	0.00573556	0.398244	0.01880326	0.0188033	0.0188033	0.1171397	0.07442608	0.0109072	0.00693	0.223372	0.141922	0.0931126	1.90689	2.238298	0.220974	4.52541	0.11714	0.0744261	0.068084	0.000966289
