Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
25	-781.1251	-804.7762	23.65109	0.0001234814	0.003359733	0.000119154	0.00324199	0.000127809	0.00347747	0.964955	1.03504	0.05197865	0.965548	1.03568	0.000123481	0.00335973	0.002818931	0.00281893	0.00281893	0.2400302	0.001018981	0.117664	0.000499509	0.362396	0.00153845	0.490205	1.5098	0.8338939	0.56981	1.75497	0.24003	0.00101898	0.0178298	0.0188344
26	-788.077	-803.9383	15.86124	0.0002707023	0.1714562	0.000262576	0.16631	0.000278828	0.176603	0.969983	1.03002	0.04451736	0.97042	1.03048	0.000270702	0.171456	0.001933526	0.00193353	0.00193353	0.1863005	0.01795039	0.0694716	0.00669372	0.303129	0.0292071	0.372901	1.6271	1.092116	0.478729	2.08886	0.1863	0.0179504	0.0178298	0.0200684
27	-793.6582	-806.176	12.51776	0.01602841	0.1714562	0.00620819	0.0664092	0.0258486	0.276503	0.387324	1.61268	1.057383	0.490077	2.0405	0.0160284	0.171456	0.008993259	0.00899326	0.00899326	0.270302	0.0035403	0.130512	0.00170939	0.410092	0.00537121	0.482837	1.51716	0.8487289	0.564137	1.77262	0.270302	0.0035403	0.0178298	0.00380161
28	-784.3914	-802.543	18.15157	0.000579719	0.03205454	0.000224539	0.0124155	0.000934899	0.0516936	0.387324	1.61268	1.057383	0.490077	2.0405	0.000579719	0.0320545	0.01715436	0.0171544	0.0171544	0.1925501	0.0001205634	0.0929703	5.82125e-05	0.29213	0.000182914	0.482837	1.51716	0.8487289	0.564137	1.77262	0.19255	0.000120563	0.0178298	0.0312685
29	-777.0686	-803.934	26.8654	0.0001158473	0.0003242315	0.000105831	0.000296197	0.000125864	0.000352266	0.913535	1.08646	0.128514	0.916969	1.09055	0.000115847	0.000324232	0.0073201	0.0073201	0.0073201	0.1808566	0.000257211	0.0873243	0.000124191	0.274389	0.000390231	0.482837	1.51716	0.8487289	0.564137	1.77262	0.180857	0.000257211	0.00889311	0.0312685
30	-780.0327	-803.4921	23.45937	0.001833572	0.0003242315	0.00167503	0.000296197	0.00199211	0.000352266	0.913535	1.08646	0.128514	0.916969	1.09055	0.00183357	0.000324232	0.007304962	0.00730496	0.00730496	0.1776972	0.001121006	0.0854475	0.000539048	0.269947	0.00170297	0.48086	1.51914	0.8527351	0.562614	1.77742	0.177697	0.00112101	0.0170065	0.0137246
31	-790.4183	-804.3995	13.98117	0.001833572	0.01531724	0.00167503	0.0139928	0.00199211	0.0166416	0.913535	1.08646	0.128514	0.916969	1.09055	0.00183357	0.0153172	0.02027768	0.0202777	0.0202777	0.1765528	0.06409199	0.0848973	0.0308193	0.268208	0.0973647	0.48086	1.51914	0.8527351	0.562614	1.77742	0.176553	0.064092	0.0104829	0.0255805
32	-790.1285	-803.8943	13.76584	0.003748139	0.03177625	0.00284987	0.0241608	0.00464641	0.0393917	0.760342	1.23966	0.362365	0.783165	1.27687	0.00374814	0.0317763	0.01429134	0.0142913	0.0142913	0.1765528	0.06409199	0.06788	0.0246417	0.285226	0.103542	0.384475	1.61553	1.064166	0.487839	2.04985	0.176553	0.064092	0.0104829	0.00858916
33	-783.8954	-801.8873	17.99194	0.0004465097	0.004049048	0.000421576	0.00382294	0.000471444	0.00427515	0.944158	1.05584	0.08287761	0.945634	1.05749	0.00044651	0.00404905	0.01401187	0.0140119	0.0140119	0.2258905	0.001429259	0.0868491	0.000549514	0.364932	0.002309	0.384475	1.61553	1.064166	0.487839	2.04985	0.22589	0.00142926	0.0153359	0.0501944
34	-783.8404	-802.4798	18.63938	0.005316173	0.004049048	0.00396495	0.0030199	0.00666739	0.0050782	0.745828	1.25417	0.3852801	0.771154	1.29676	0.00531617	0.00404905	0.006677331	0.00667733	0.00667733	0.2322766	0.0002725319	0.0893044	0.000104782	0.375249	0.000440282	0.384475	1.61553	1.064166	0.487839	2.04985	0.232277	0.000272532	0.0128369	0.0367893
