(Intercept),IUCNDD,IUCNEN,IUCNEW,IUCNLC,IUCNNT,IUCNVU
-565.800167293724,-559.894702418382,-186.669772666821,-94472.1480186458,-117.83994980593,-137.105201379643,-111.344299595454
-195.903122262534,-306.023516420559,-170.295361873606,-96173.8848454014,-273.954454968338,-152.677652483129,-161.022864162522
186.461631113256,27.4566722800373,-81.4230296343594,-95212.2935543051,-126.413238144825,-266.267095771953,-200.679159372841
-221.487578761531,-257.670607396518,-133.628084387734,-95627.5612609076,-163.34137057609,-179.484833777999,-137.009305646592
16.5220658898106,-69.0584383034511,30.8554062895855,-97717.3615995954,23.0215094201412,-52.1461740604136,-0.110832237041905
-296.750267012001,-718.107793788433,-173.45789621849,-97979.4464008922,-322.423609383794,-126.481432636327,-298.678253723105
-71.0466376688855,-3270.51912642023,-244.48273758986,-95690.2439374627,-202.398420755657,-178.15474167014,-293.993964109453
-452.679340374016,-5958.95945399138,11.1233454762769,-94788.1652167337,-67.2218024117756,-42.8416178958075,-81.6023061254527
20.7953945377012,-8577.1825627833,-246.076364085966,-96934.0120468978,-230.816528510688,-245.440761448262,-172.305228527432
-89.989979903854,-7430.5918467722,-299.58074158497,-96133.130647487,-183.704749647499,-159.151999612257,-195.137035154679
-413.165659235819,-8835.15539358751,-177.093245014927,-101246.558549043,6.3036416786781,15.6933190873824,-149.664526401204
-311.452497793158,-7824.09193448292,-187.96153512536,-100351.913693667,-211.379703887578,-137.969221118885,-329.429881442396
-179.476622920585,-3813.7485292909,-52.800916958462,-99820.202692286,-272.038634733341,-212.179549630819,-163.359211571631
-76.3166642694414,-7047.36679978119,-113.501201997933,-96441.7918528586,-124.144704640387,-32.2800821962883,-78.3758219233787
-87.6260015175358,-7376.06828518408,-460.591289851978,-96041.9426023248,-419.423780524718,-367.215981429807,-446.374794527452
-140.044275927852,-10273.9519867877,-108.143138973246,-97252.6534805328,-138.145657961344,-179.819646356591,-131.264571506588
10.9348869829773,-8646.64539542126,-260.357580294483,-98305.4708635911,-298.742552256532,-424.520293092166,-240.639930236459
-510.702875522489,-7244.65977446086,-88.5871557056453,-97714.4202906181,14.9460760196962,19.012013434005,-51.0622080243775
15.8542853073159,-10496.6389351822,-161.411176897658,-98420.9501142656,-201.035044803546,-126.180223773392,-252.046470783709
-650.324271118923,-10168.4910248188,-131.271126446256,-99926.651704625,-173.925707504219,-152.593078545906,-244.20774978376
-293.19962932304,-8580.521558398,-381.581937300274,-98758.7462581763,-347.850654384121,-342.117633047266,-315.223667788348
333.842410533392,-7504.55267013818,-182.667529521277,-100992.880636836,-184.44341642025,-74.1543730203994,-223.185200214273
217.284015983736,-5573.60787828109,-354.552351209681,-100535.32802262,-392.25112951154,-449.665121950584,-354.063899371016
-368.078874712753,-4015.76275095268,-281.65764838965,-100614.123739912,-223.387636358297,-206.886674589856,-252.990742858521
93.3207393278426,-6191.79752708822,-321.16417859029,-97888.7885192772,-267.664270394442,-210.358404746279,-287.345215404144
-302.422907517233,-5796.00235676745,-364.917813593902,-98684.3328166687,-454.699410533329,-603.299926053653,-415.801220768772
