Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
25	-684.1493	-689.7441	5.59478	0.06730741	0.01316772	0.00333868	0.000653164	0.131276	0.0256823	0.0496034	1.9504	2.721857	0.159476	6.27055	0.0673074	0.0131677	0.003113111	0.00311311	0.00311311	0.1275847	0.06257059	0.0366988	0.017998	0.21847	0.107143	0.287643	1.71236	1.322411	0.409855	2.43989	0.127585	0.0625706	0.0158843	0.0267549
26	-676.6392	-688.4898	11.85058	0.06730741	0.0005069611	0.00333868	2.5147e-05	0.131276	0.000988775	0.0496034	1.9504	2.721857	0.159476	6.27055	0.0673074	0.000506961	0.0008775635	0.000877563	0.000877563	0.1052497	0.02266786	0.0302744	0.00652025	0.180225	0.0388155	0.287643	1.71236	1.322411	0.409855	2.43989	0.10525	0.0226679	0.00551714	0.0264954
27	-674.6325	-686.8464	12.21394	0.06730741	0.0005069611	0.00333868	2.5147e-05	0.131276	0.000988775	0.0496034	1.9504	2.721857	0.159476	6.27055	0.0673074	0.000506961	0.0004568883	0.000456888	0.000456888	0.09512875	0.03335975	0.0273631	0.0095957	0.162894	0.0571238	0.287643	1.71236	1.322411	0.409855	2.43989	0.0951287	0.0333598	0.00127927	0.0264954
28	-676.1716	-688.8807	12.70904	0.06730741	0.00154952	0.00333868	7.68614e-05	0.131276	0.00302218	0.0496034	1.9504	2.721857	0.159476	6.27055	0.0673074	0.00154952	0.0009888277	0.000988828	0.000988828	0.1109094	0.03907353	0.0409801	0.0144374	0.180839	0.0637097	0.369492	1.63051	1.100475	0.476037	2.10068	0.110909	0.0390735	0.00380287	0.0123357
29	-677.5411	-685.4075	7.866359	0.06730741	0.006168633	0.00333868	0.000305985	0.131276	0.0120313	0.0496034	1.9504	2.721857	0.159476	6.27055	0.0673074	0.00616863	0.007725438	0.00772544	0.00772544	0.1148624	0.03907353	0.0426518	0.0145092	0.187073	0.0636379	0.37133	1.62867	1.095961	0.477489	2.09429	0.114862	0.0390735	0.000230998	0.0338323
30	-672.6515	-686.1167	13.46514	0.06730741	0.0002751557	0.03124	0.000127711	0.103375	0.000422601	0.46414	1.53586	0.8870858	0.549729	1.81908	0.0673074	0.000275156	0.0133513	0.0133513	0.0133513	0.1160048	0.03907353	0.0470142	0.0158356	0.184995	0.0623114	0.405278	1.59472	1.015495	0.50412	1.98365	0.116005	0.0390735	7.57714e-05	0.0338323
31	-674.1787	-689.5446	15.36585	0.06730741	0.00271583	0.0333904	0.00134729	0.101224	0.00408437	0.496088	1.50391	0.8221552	0.574339	1.74113	0.0673074	0.00271583	0.002577999	0.002578	0.002578	0.1055269	0.2160042	0.0616144	0.126119	0.149439	0.305889	0.583874	1.41613	0.6567894	0.642109	1.55737	0.105527	0.216004	0.0020087	0.00615835
32	-672.7268	-686.0972	13.37043	0.06730741	0.01075412	0.0333904	0.00533499	0.101224	0.0161732	0.496088	1.50391	0.8221552	0.574339	1.74113	0.0673074	0.0107541	0.005552465	0.00555246	0.00555246	0.1468715	0.08820576	0.0857544	0.051501	0.207989	0.12491	0.583874	1.41613	0.6567894	0.642109	1.55737	0.146871	0.0882058	0.00126873	0.0124291
33	-672.4359	-685.0317	12.59577	0.06730741	0.008105386	0.0333904	0.00402099	0.101224	0.0121898	0.496088	1.50391	0.8221552	0.574339	1.74113	0.0673074	0.00810539	0.00360822	0.00360822	0.00360822	0.1255348	0.1051633	0.0631791	0.0529266	0.187891	0.1574	0.50328	1.49672	0.8079331	0.579875	1.72451	0.125535	0.105163	0.00346513	0.0177878
34	-668.9378	-683.7676	14.82974	0.07273519	0.0003314881	0.0360831	0.000164447	0.109387	0.000498529	0.496088	1.50391	0.8221552	0.574339	1.74113	0.0727352	0.000331488	0.005700901	0.0057009	0.0057009	0.1528452	0.1031908	0.0769239	0.0519338	0.228766	0.154448	0.50328	1.49672	0.8079331	0.579875	1.72451	0.152845	0.103191	0.000140216	0.0240994
