Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
25	-2119.95	-2110.089	-9.8606	0.5573332	0.2757009	0.00939578	0.00464789	1.10527	0.546754	0.0168585	1.98314	3.534216	0.0922003	10.846	0.557333	0.275701	0.05075964	0.0507596	0.0507596	0.6318016	0.1506819	0.11539	0.0275201	1.14821	0.273844	0.182637	1.81736	1.703244	0.31701	3.15447	0.631802	0.150682	0.00525625	0.0113082
26	-2115.196	-2113.067	-2.128126	0.5008221	0.0688378	0.00844309	0.0011605	0.993201	0.136515	0.0168585	1.98314	3.534216	0.0922003	10.846	0.500822	0.0688378	0.02740665	0.0274067	0.0274067	0.6318016	0.01534389	0.11539	0.00280236	1.14821	0.0278854	0.182637	1.81736	1.703244	0.31701	3.15447	0.631802	0.0153439	0.00841973	0.0113082
27	-2116.46	-2112.41	-4.050642	0.5171839	0.04844886	0.00871893	0.000816773	1.02565	0.096081	0.0168585	1.98314	3.534216	0.0922003	10.846	0.517184	0.0484489	0.02003254	0.0200325	0.0200325	0.5893015	0.007446673	0.0968324	0.00122362	1.08177	0.0136697	0.164317	1.83568	1.789036	0.299187	3.34239	0.589302	0.00744667	0.00841973	0.0334312
28	-2109.856	-2112.243	2.387533	0.5171839	0.04844886	0.00871893	0.000816773	1.02565	0.096081	0.0168585	1.98314	3.534216	0.0922003	10.846	0.517184	0.0484489	0.02395677	0.0239568	0.0239568	0.5893015	0.0003782655	0.0865045	5.55262e-05	1.0921	0.000701005	0.146792	1.85321	1.879687	0.281442	3.55313	0.589302	0.000378265	0.00841973	0.0110586
29	-2114.095	-2116.514	2.419382	0.5003933	0.04844886	0.0237523	0.00229974	0.977034	0.094598	0.0474673	1.95253	2.755299	0.155919	6.4136	0.500393	0.0484489	0.01999906	0.0199991	0.0199991	0.5893015	0.0003782655	0.0865045	5.55262e-05	1.0921	0.000701005	0.146792	1.85321	1.879687	0.281442	3.55313	0.589302	0.000378265	0.0162551	0.0139585
30	-2110.247	-2115.116	4.868873	0.4772041	0.1169204	0.0226516	0.00554989	0.931757	0.228291	0.0474673	1.95253	2.755299	0.155919	6.4136	0.477204	0.11692	0.02433971	0.0243397	0.0243397	0.5719563	0.0003782655	0.0839584	5.55262e-05	1.05995	0.000701005	0.146792	1.85321	1.879687	0.281442	3.55313	0.571956	0.000378265	0.00662989	0.00263025
31	-2109.549	-2112.011	2.462255	0.4760334	0.2400392	0.022596	0.011394	0.929471	0.468684	0.0474673	1.95253	2.755299	0.155919	6.4136	0.476033	0.240039	0.03310149	0.0331015	0.0331015	0.5509937	0.0004325609	0.0931999	7.31672e-05	1.00879	0.000791955	0.169149	1.83085	1.765599	0.303954	3.28997	0.550994	0.000432561	0.00699571	0.00262932
32	-2109.146	-2112.343	3.196759	0.4760334	0.2400392	0.0428119	0.0215878	0.909255	0.458491	0.0899346	1.91007	2.265275	0.21699	4.60851	0.476033	0.240039	0.035371	0.035371	0.035371	0.5509937	0.0001362351	0.0931999	2.3044e-05	1.00879	0.000249426	0.169149	1.83085	1.765599	0.303954	3.28997	0.550994	0.000136235	0.0111354	0.00262932
33	-2117.809	-2112.777	-5.032018	0.4669158	0.5859506	0.004323	0.00542511	0.929509	1.16648	0.00925864	1.99074	3.98131	0.0681971	14.6634	0.466916	0.585951	0.03859154	0.0385915	0.0385915	0.5620028	0.0004780652	0.133475	0.00011354	0.99053	0.00084259	0.237499	1.7625	1.485809	0.367085	2.72417	0.562003	0.000478065	0.02648	0.00262932
34	-2118.887	-2111.574	-7.312558	0.4282882	0.5859506	0.00937851	0.0128309	0.847198	1.15907	0.0218977	1.9781	3.338459	0.105214	9.50442	0.428288	0.585951	0.03155551	0.0315555	0.0315555	0.5670844	0.006377383	0.134682	0.00151462	0.999487	0.0112401	0.237499	1.7625	1.485809	0.367085	2.72417	0.567084	0.00637738	0.0239785	0.0165664
35	-2113.026	-2110.973	-2.053516	0.477373	0.5859506	0.0210575	0.025847	0.933689	1.14605	0.0441112	1.95589	2.810929	0.150177	6.65882	0.477373	0.585951	0.03155551	0.0315555	0.0315555	0.5904602	0.001313524	0.111816	0.000248743	1.0691	0.0023783	0.189371	1.81063	1.673651	0.323402	3.09213	0.59046	0.00131352	0.014031	0.00991913
36	-2116.654	-2113.677	-2.976979	0.4531437	0.490954	0.0199887	0.0216566	0.886299	0.960251	0.0441112	1.95589	2.810929	0.150177	6.65882	0.453144	0.490954	0.01717761	0.0171776	0.0171776	0.544423	0.01784571	0.103098	0.00337946	0.985748	0.032312	0.189371	1.81063	1.673651	0.323402	3.09213	0.544423	0.0178457	0.021385	0.00991913
37	-2117.48	-2113.207	-4.272625	0.4531437	0.490954	0.0165147	0.0178927	0.889773	0.964015	0.0364447	1.96356	2.955358	0.136237	7.34014	0.453144	0.490954	0.01717761	0.0171776	0.0171776	0.5394336	0.01410043	0.102842	0.00268822	0.976025	0.0255126	0.190648	1.80935	1.668146	0.324605	3.08067	0.539434	0.0141004	0.0233073	0.0146555
38	-2114.678	-2108.984	-5.693771	0.4463015	0.490954	0.0162653	0.0178927	0.876338	0.964015	0.0364447	1.96356	2.955358	0.136237	7.34014	0.446302	0.490954	0.04470915	0.0447091	0.0447091	0.5326079	0.002932134	0.101541	0.000559006	0.963675	0.00530526	0.190648	1.80935	1.668146	0.324605	3.08067	0.532608	0.00293213	0.0233073	0.00254392
39	-2108.013	-2115.581	7.567647	0.455746	0.00133163	0.0361014	0.000105484	0.875391	0.00255778	0.0792139	1.92079	2.363518	0.203077	4.92423	0.455746	0.00133163	0.03689929	0.0368993	0.0368993	0.5326079	0.0003432031	0.101541	6.5431e-05	0.963675	0.000620975	0.190648	1.80935	1.668146	0.324605	3.08067	0.532608	0.000343203	0.00429397	0.00781843
40	-2109.379	-2116.061	6.681543	0.4732124	0.0627747	0.037485	0.00497263	0.90894	0.120577	0.0792139	1.92079	2.363518	0.203077	4.92423	0.473212	0.0627747	0.02409652	0.0240965	0.0240965	0.5326079	0.0004622556	0.0851904	7.39375e-05	0.980025	0.000850574	0.159949	1.84005	1.810769	0.294833	3.39175	0.532608	0.000462256	0.00596851	0.000842176
41	-2111.051	-2118.355	7.304386	0.4901295	0.007819265	0.0388251	0.000619395	0.941434	0.0150191	0.0792139	1.92079	2.363518	0.203077	4.92423	0.490129	0.00781927	0.03482534	0.0348253	0.0348253	0.533173	0.0002704893	0.10176	5.16248e-05	0.964586	0.000489354	0.190857	1.80914	1.667248	0.324801	3.07881	0.533173	0.000270489	0.00649559	0.000842176
42	-2116.048	-2113.823	-2.225797	0.4901295	0.1681288	0.0460194	0.015786	0.934239	0.320472	0.0938923	1.90611	2.231813	0.221943	4.50566	0.490129	0.168129	0.02248549	0.0224855	0.0224855	0.5602973	0.01694548	0.106937	0.00323416	1.01366	0.0306568	0.190857	1.80914	1.667248	0.324801	3.07881	0.560297	0.0169455	0.0147992	0.0176406
43	-2117.386	-2111.793	-5.593756	0.4901295	0.1681288	0.0460194	0.015786	0.934239	0.320472	0.0938923	1.90611	2.231813	0.221943	4.50566	0.490129	0.168129	0.04860325	0.0486032	0.0486032	0.5741601	0.09989751	0.12702	0.0221002	1.0213	0.177695	0.221228	1.77877	1.54523	0.352663	2.83557	0.57416	0.0998975	0.00678715	0.00860997
