Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
22	-525.9902	-539.1988	13.2086	0.005795121	0.0006373788	0.00375062	0.000412514	0.00783962	0.000862244	0.647203	1.3528	0.5465381	0.691678	1.44576	0.00579512	0.000637379	0.006003837	0.00600384	0.00600384	0.209082	0.08195	0.591803	0.117165	0.2418096	0.03317429	0.194721	0.0267141	0.288899	0.0396345	0.805264	1.19474	0.2924503	0.820981	1.21805	0.24181	0.0331743	0.0757312	0.0176476
23	-520.592	-538.9815	18.38954	1.135092e-05	0.001222236	7.34635e-06	0.000791035	1.53555e-05	0.00165344	0.647203	1.3528	0.5465381	0.691678	1.44576	1.13509e-05	0.00122224	0.006003837	0.00600384	0.00600384	0.188997	0.084031	0.606831	0.12014	0.2222529	0.06045529	0.197534	0.0537314	0.246972	0.0671791	0.88878	1.11122	0.1655804	0.894328	1.11816	0.222253	0.0604553	0.0757719	0.0192189
24	-526.3684	-540.0415	13.67308	0.00148492	0.001222236	0.00115017	0.000946706	0.00181967	0.00149777	0.774569	1.22543	0.3400656	0.795034	1.25781	0.00148492	0.00122224	0.02031506	0.0203151	0.0203151	0.188997	0.084031	0.606831	0.12014	0.2242054	0.04620717	0.20045	0.0413112	0.247961	0.0511031	0.894044	1.10596	0.1576824	0.899105	1.11222	0.224205	0.0462072	0.0757719	0.0121802
25	-522.6943	-536.1532	13.45884	0.00148492	0.006066968	0.00135299	0.00552793	0.00161685	0.006606	0.911153	1.08885	0.1320735	0.91477	1.09317	0.00148492	0.00606697	0.02444381	0.0244438	0.0244438	0.123903	0.0907757	0.655538	0.129783	0.1888736	0.02076098	0.159233	0.0175029	0.218514	0.0240191	0.843067	1.15693	0.2346087	0.853644	1.17145	0.188874	0.020761	0.055328	0.0254896
26	-519.8868	-539.0883	19.20157	0.00148492	2.40255e-05	0.00139664	2.25972e-05	0.0015732	2.54538e-05	0.940552	1.05945	0.08824172	0.942218	1.06133	0.00148492	2.40255e-05	0.03367189	0.0336719	0.0336719	0.120229	0.0880839	0.6361	0.155588	0.2188891	0.0528452	0.194577	0.0469756	0.243202	0.0587148	0.888928	1.11107	0.1653574	0.894463	1.11799	0.218889	0.0528452	0.0441105	0.0103634
27	-511.8767	-534.9696	23.09286	3.575238e-06	2.40255e-05	3.22174e-06	2.165e-05	3.92874e-06	2.6401e-05	0.901126	1.09887	0.1470711	0.905563	1.10428	3.57524e-06	2.40255e-05	0.05278334	0.0527833	0.0527833	0.1522	0.111507	0.539333	0.196961	0.160737	0.0528452	0.145217	0.0477429	0.176256	0.0579475	0.903448	1.09655	0.1435955	0.907689	1.1017	0.160737	0.0528452	0.0538236	0.0186081
28	-510.3628	-534.1619	23.79915	2.167501e-06	3.201153e-05	1.91905e-06	2.83422e-05	2.41595e-06	3.56808e-05	0.885376	1.11462	0.1706925	0.89125	1.12202	2.1675e-06	3.20115e-05	0.009137156	0.00913716	0.00913716	0.159222	0.0705125	0.564217	0.206048	0.160737	0.05041237	0.153058	0.048004	0.168416	0.0528207	0.952227	1.04777	0.07088268	0.953315	1.04897	0.160737	0.0504124	0.0538236	0.0566226
29	-508.463	-535.492	27.02897	2.167501e-06	5.527433e-06	2.08462e-06	5.31607e-06	2.25038e-06	5.73879e-06	0.961762	1.03824	0.05671977	0.962466	1.039	2.1675e-06	5.52743e-06	0.002020673	0.00202067	0.00202067	0.159222	0.0705125	0.564217	0.206048	0.160737	0.05736262	0.124125	0.0442969	0.197349	0.0704283	0.772226	1.22777	0.3437272	0.793073	1.26092	0.160737	0.0573626	0.0559458	0.032486
30	-519.6492	-536.104	16.45482	7.585795e-05	0.0003267354	6.02077e-05	0.000259326	9.15082e-05	0.000394144	0.79369	1.20631	0.3103303	0.81114	1.23283	7.58579e-05	0.000326735	0.03050151	0.0305015	0.0305015	0.159222	0.0705125	0.564217	0.206048	0.1515393	0.1038687	0.133091	0.0912239	0.169987	0.116513	0.878262	1.12174	0.1813884	0.884843	1.13014	0.151539	0.103869	0.0559458	0.0389867
31	-517.4878	-537.223	19.73516	1.253685e-06	0.06643693	7.22279e-07	0.038276	1.78509e-06	0.0945979	0.576125	1.42387	0.6707383	0.636096	1.57209	1.25368e-06	0.0664369	0.001541498	0.0015415	0.0015415	0.143702	0.0718141	0.574632	0.209852	0.1601342	0.1038687	0.148182	0.0961161	0.172086	0.111621	0.925361	1.07464	0.1108659	0.92795	1.07764	0.160134	0.103869	0.037881	0.0076095
32	-517.4941	-536.7318	19.2377	1.059177e-06	0.03311007	4.8424e-07	0.0151374	1.63411e-06	0.0510827	0.457185	1.54282	0.9016269	0.544363	1.83701	1.05918e-06	0.0331101	0.0007155825	0.000715582	0.000715582	0.156959	0.0707023	0.565736	0.206603	0.1265202	0.05464185	0.112621	0.0486389	0.14042	0.0606448	0.890139	1.10986	0.1635398	0.89556	1.11662	0.12652	0.0546418	0.0628056	0.010847
33	-520.4792	-535.0808	14.60158	1.527863e-05	0.03311007	6.98516e-06	0.0151374	2.35721e-05	0.0510827	0.457185	1.54282	0.9016269	0.544363	1.83701	1.52786e-05	0.0331101	0.0275432	0.0275432	0.0275432	0.296044	0.0579985	0.447594	0.198364	0.1393426	0.05464185	0.100012	0.0392187	0.178673	0.070065	0.71774	1.28226	0.4301557	0.748162	1.33661	0.139343	0.0546418	0.0628056	0.00605341
34	-515.4785	-534.1506	18.67212	0.0005110962	6.776632e-06	0.000309876	4.10865e-06	0.000712316	9.44461e-06	0.606297	1.3937	0.6170209	0.659565	1.51615	0.000511096	6.77663e-06	0.04642579	0.0464258	0.0464258	0.302063	0.0536018	0.456693	0.187642	0.1190904	0.05464185	0.030235	0.0138726	0.207946	0.0954111	0.253883	1.74612	1.429433	0.381312	2.62253	0.11909	0.0546418	0.0393758	0.00832776
35	-521.7612	-534.965	13.20381	0.008321182	0.001371694	0.00601034	0.000990766	0.010632	0.00175262	0.722294	1.27771	0.4228305	0.751868	1.33002	0.00832118	0.00137169	0.03546645	0.0354664	0.0354664	0.327283	0.0513557	0.44041	0.180952	0.1102242	0.02254969	0.0279841	0.00572498	0.192464	0.0393744	0.253883	1.74612	1.429433	0.381312	2.62253	0.110224	0.0225497	0.0333361	0.00450228
36	-515.1572	-536.5883	21.43115	9.341842e-06	0.000821265	6.8665e-06	0.000603651	1.18172e-05	0.00103888	0.735026	1.26497	0.4024529	0.762273	1.31187	9.34184e-06	0.000821265	0.0169797	0.0169797	0.0169797	0.327283	0.0513557	0.44041	0.180952	0.07755656	0.03083152	0.0196903	0.0078276	0.135423	0.0538354	0.253883	1.74612	1.429433	0.381312	2.62253	0.0775566	0.0308315	0.0333361	0.00978572
37	-523.0415	-535.6945	12.65295	0.009488422	0.000821265	0.00484964	0.000419758	0.0141272	0.00122277	0.511112	1.48889	0.7925969	0.585904	1.70676	0.00948842	0.000821265	0.03587968	0.0358797	0.0358797	0.289453	0.0542437	0.465176	0.191127	0.1380051	0.03083152	0.0464369	0.0103744	0.229573	0.0512886	0.336487	1.66351	1.184694	0.44975	2.22346	0.138005	0.0308315	0.0319176	0.00833985
38	-523.0383	-532.7509	9.712548	0.001473986	0.0001029229	0.000753372	5.26051e-05	0.0021946	0.000153241	0.511112	1.48889	0.7925969	0.585904	1.70676	0.00147399	0.000102923	0.07863006	0.0786301	0.0786301	0.293351	0.0549742	0.457974	0.193701	0.1380051	0.04949186	0.0675486	0.0242245	0.208462	0.0747592	0.489464	1.51054	0.835378	0.56924	1.75673	0.138005	0.0494919	0.0403083	0.0660789
39	-518.2201	-536.6125	18.39245	0.001473986	0.0001029229	0.00131674	9.1943e-05	0.00163123	0.000113903	0.893319	1.10668	0.1587697	0.898446	1.11303	0.00147399	0.000102923	0.01626158	0.0162616	0.0162616	0.293351	0.0549742	0.457974	0.193701	0.1380051	0.01289992	0.0675486	0.00631405	0.208462	0.0194858	0.489464	1.51054	0.835378	0.56924	1.75673	0.138005	0.0128999	0.0410073	0.030447
40	-516.5713	-538.5085	21.93725	4.447133e-05	0.0001029229	6.51353e-06	1.50747e-05	8.24291e-05	0.000190771	0.146466	1.85353	1.881464	0.281105	3.55739	4.44713e-05	0.000102923	0.01518219	0.0151822	0.0151822	0.294323	0.0518431	0.459491	0.194343	0.2063619	0.003564398	0.155993	0.0026944	0.256731	0.0044344	0.755919	1.24408	0.3693299	0.779495	1.28288	0.206362	0.0035644	0.0478213	0.0045041
41	-505.3598	-538.5381	33.17825	1.346332e-06	1.401371e-06	6.52901e-07	6.79593e-07	2.03976e-06	2.12315e-06	0.484948	1.51505	0.8444627	0.565762	1.76753	1.34633e-06	1.40137e-06	0.001582242	0.00158224	0.00158224	0.300898	0.0306619	0.469756	0.198684	0.2045377	0.001660381	0.15724	0.00127643	0.251835	0.00204433	0.768758	1.23124	0.3491554	0.790174	1.26554	0.204538	0.00166038	0.0478213	0.0045041
42	-517.512	-536.2299	18.71788	0.0002963932	0.0006317102	8.31942e-05	0.000177314	0.000509592	0.00108611	0.280689	1.71931	1.343559	0.40405	2.47494	0.000296393	0.00063171	0.002678044	0.00267804	0.00267804	0.30059	0.0316534	0.469275	0.198481	0.16128	0.02228495	0.146344	0.0202211	0.176216	0.0243488	0.907389	1.09261	0.1377002	0.911305	1.09733	0.16128	0.0222849	0.0399758	0.0129048
