Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
22	-487.1236	-494.581	7.457333	0.01738153	0.1021373	0.0107271	0.0630345	0.024036	0.14124	0.617155	1.38285	0.598066	0.668052	1.49689	0.0173815	0.102137	0.01474253	0.0147425	0.0147425	0.0662663	0.516567	0.170322	0.246844	0.4304328	0.0628884	0.221997	0.0324349	0.638869	0.0933419	0.515753	1.48425	0.7835811	0.589478	1.69642	0.430433	0.0628884	0.0313311	0.0148553
23	-483.8955	-492.3766	8.481045	0.01738153	0.02932662	0.0107271	0.0180991	0.024036	0.0405542	0.617155	1.38285	0.598066	0.668052	1.49689	0.0173815	0.0293266	0.009346249	0.00934625	0.00934625	0.0662663	0.516567	0.170322	0.246844	0.4522181	0.0628884	0.162892	0.0226529	0.741544	0.103124	0.360208	1.63979	1.123549	0.468686	2.13362	0.452218	0.0628884	0.0275328	0.0146714
24	-482.9787	-492.1993	9.220639	0.01738153	0.01619059	0.0138676	0.0129175	0.0208954	0.0194637	0.797837	1.20216	0.3039135	0.814658	1.22751	0.0173815	0.0161906	0.01103476	0.0110348	0.0110348	0.0662663	0.516567	0.170322	0.246844	0.4267563	0.09108882	0.149147	0.0318346	0.704366	0.150343	0.349489	1.65051	1.150772	0.460159	2.17316	0.426756	0.0910888	0.0134672	0.0269643
25	-476.9575	-490.7837	13.82619	0.002957647	0.003183362	0.00227287	0.00244633	0.00364242	0.0039204	0.768473	1.23153	0.3496016	0.789937	1.26592	0.00295765	0.00318336	0.008084223	0.00808422	0.00808422	0.068256	0.532077	0.145411	0.254256	0.4304652	0.05611983	0.179636	0.0234192	0.681294	0.0888205	0.417307	1.58269	0.9882006	0.513487	1.94747	0.430465	0.0561198	0.0152563	0.015745
26	-479.6996	-492.0936	12.39397	0.002957647	0.02315058	0.00227287	0.0177906	0.00364242	0.0285106	0.768473	1.23153	0.3496016	0.789937	1.26592	0.00295765	0.0231506	0.007110765	0.00711077	0.00711077	0.068256	0.532077	0.145411	0.254256	0.4242185	0.05611983	0.185691	0.024565	0.662746	0.0876746	0.437725	1.56228	0.9431633	0.529324	1.8892	0.424219	0.0561198	0.0131412	0.00814263
27	-478.8597	-492.2236	13.3639	0.0009056731	0.02273118	0.000754071	0.0189262	0.00105728	0.0265362	0.832609	1.16739	0.2505326	0.844524	1.1841	0.000905673	0.0227312	0.007046145	0.00704614	0.00704614	0.068256	0.532077	0.145411	0.254256	0.4619884	0.05611983	0.202224	0.024565	0.721753	0.0876746	0.437725	1.56228	0.9431633	0.529324	1.8892	0.461988	0.0561198	0.0209706	0.00769396
28	-478.3274	-494.6983	16.37091	3.496439e-05	0.04586755	3.25463e-05	0.0426955	3.73824e-05	0.0490396	0.930843	1.06916	0.1026967	0.933077	1.07172	3.49644e-05	0.0458676	0.01684497	0.016845	0.016845	0.0773796	0.469531	0.164848	0.288242	0.4805226	0.04292924	0.210337	0.0187912	0.750709	0.0670673	0.437725	1.56228	0.9431633	0.529324	1.8892	0.480523	0.0429292	0.0133403	0.00611958
29	-475.2381	-491.7928	16.55466	3.496439e-05	0.04586755	3.25463e-05	0.0426955	3.73824e-05	0.0490396	0.930843	1.06916	0.1026967	0.933077	1.07172	3.49644e-05	0.0458676	0.01684497	0.016845	0.016845	0.0773796	0.469531	0.164848	0.288242	0.4805226	0.03572342	0.210337	0.015637	0.750709	0.0558098	0.437725	1.56228	0.9431633	0.529324	1.8892	0.480523	0.0357234	0.0133403	0.00611958
30	-479.8599	-496.2394	16.37945	3.496439e-05	0.04586755	3.25463e-05	0.0426955	3.73824e-05	0.0490396	0.930843	1.06916	0.1026967	0.933077	1.07172	3.49644e-05	0.0458676	0.01684497	0.016845	0.016845	0.0773796	0.469531	0.164848	0.288242	0.5059019	0.03572342	0.2327	0.0164317	0.779104	0.0550151	0.459971	1.54003	0.8957837	0.546513	1.82978	0.505902	0.0357234	0.0210055	0.00319908
31	-478.0937	-494.0289	15.9352	3.496439e-05	0.04586755	3.25463e-05	0.0426955	3.73824e-05	0.0490396	0.930843	1.06916	0.1026967	0.933077	1.07172	3.49644e-05	0.0458676	0.01684497	0.016845	0.016845	0.0773796	0.469531	0.164848	0.288242	0.5463513	0.03572342	0.251306	0.0164317	0.841397	0.0550151	0.459971	1.54003	0.8957837	0.546513	1.82978	0.546351	0.0357234	0.029532	0.00319908
