Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
24	-100.3202	-118.6327	18.31254	4.416039e-05	0.002664376	2.33265e-05	0.00140738	6.49943e-05	0.00392137	0.528222	1.47178	0.7596177	0.599083	1.66922	4.41604e-05	0.00266438	0.009098313	0.00909831	0.00909831	0.241693	0.222173	0.528538	0.00759738	0.03532144	0.08558139	0.019939	0.0483108	0.0507039	0.122852	0.564501	1.4355	0.6918747	0.627092	1.59466	0.0353214	0.0855814	0.0148235	0.0573118
25	-102.0884	-117.8581	15.7697	4.416039e-05	0.002664376	1.166e-05	0.000703495	7.66608e-05	0.00462526	0.264038	1.73596	1.396037	0.389998	2.56411	4.41604e-05	0.00266438	0.03441888	0.0344189	0.0344189	0.364153	0.334743	0.272902	0.028201	0.03532144	0.1003815	0.0175139	0.0497736	0.0531289	0.150989	0.495845	1.50416	0.8226398	0.574151	1.7417	0.0353214	0.100382	0.0100664	0.0647569
26	-107.0838	-118.0728	10.98903	0.0002867749	0.009111427	7.37864e-05	0.00234435	0.000499763	0.0158785	0.257297	1.7427	1.418079	0.384243	2.60252	0.000286775	0.00911143	0.02828546	0.0282855	0.0282855	0.345354	0.369087	0.258814	0.0267451	0.03525542	0.1074202	0.0174812	0.0532637	0.0530296	0.161577	0.495845	1.50416	0.8226398	0.574151	1.7417	0.0352554	0.10742	0.0100664	0.111887
27	-101.5885	-118.5992	17.01071	0.001176998	0.0001955656	0.00081091	0.000134738	0.00154309	0.000256393	0.688965	1.31104	0.4769398	0.724922	1.37946	0.001177	0.000195566	0.00375051	0.00375051	0.00375051	0.34544	0.36918	0.258878	0.0265017	0.0101985	0.0812993	0.00505687	0.0403118	0.0153401	0.122287	0.495845	1.50416	0.8226398	0.574151	1.7417	0.0101985	0.0812993	0.0093739	0.124865
28	-97.35484	-118.3904	21.03552	1.911926e-06	0.01114417	1.08733e-06	0.00633777	2.73653e-06	0.0159506	0.568707	1.43129	0.6841972	0.630348	1.58643	1.91193e-06	0.0111442	0.02992435	0.0299243	0.0299243	0.575975	0.140206	0.257463	0.0263568	0.0101985	0.1740336	0.00749111	0.127833	0.0129059	0.220234	0.734531	1.26547	0.403243	0.761867	1.31257	0.0101985	0.174034	0.00369413	0.0512039
29	-93.02974	-119.8042	26.77441	3.368676e-06	8.024836e-05	2.44895e-06	5.83387e-05	4.2884e-06	0.000102158	0.726976	1.27302	0.4153187	0.755687	1.3233	3.36868e-06	8.02484e-05	0.02048487	0.0204849	0.0204849	0.600086	0.0753298	0.26824	0.0563443	0.0101985	0.09509319	0.00839686	0.0782943	0.0120001	0.111892	0.823342	1.17666	0.2646897	0.836499	1.19546	0.0101985	0.0950932	0.0188763	0.0435436
30	-98.89452	-118.2121	19.31759	0.0009973998	8.024836e-05	0.000681396	5.48235e-05	0.0013134	0.000105673	0.683173	1.31683	0.4864663	0.720279	1.38835	0.0009974	8.02484e-05	0.02048487	0.0204849	0.0204849	0.578153	0.0725765	0.258436	0.0908349	0.02599266	0.2543243	0.0251493	0.246072	0.026836	0.262576	0.967554	1.03245	0.04812194	0.968063	1.03299	0.0259927	0.254324	0.00409321	0.0607818
31	-107.2209	-118.3034	11.08252	0.0009973998	0.1310028	0.000622203	0.0817228	0.0013726	0.180283	0.623825	1.37617	0.5865121	0.673278	1.48527	0.0009974	0.131003	0.01023331	0.0102333	0.0102333	0.460864	0.0715332	0.345993	0.121609	0.02242876	0.2355116	0.0179408	0.188386	0.0269167	0.282637	0.799902	1.2001	0.3007231	0.816413	1.22487	0.0224288	0.235512	0.0263357	0.0607818
32	-112.162	-118.8966	6.734537	0.02281174	0.1310028	0.00806762	0.0463306	0.0375559	0.215675	0.353661	1.64634	1.140099	0.463483	2.15758	0.0228117	0.131003	0.002740076	0.00274008	0.00274008	0.853387	0.0353142	0.091641	0.0196576	0.03148877	0.2355116	0.0221024	0.165309	0.0408751	0.305714	0.701915	1.29809	0.4557765	0.735344	1.35991	0.0314888	0.235512	0.0263357	0.0597582
33	-108.3012	-118.5339	10.23265	0.1370051	3.80355e-05	0.0172079	4.77729e-06	0.256802	7.12937e-05	0.125601	1.8744	2.003689	0.25886	3.86309	0.137005	3.80355e-05	0.007062828	0.00706283	0.00706283	0.421752	0.30024	0.200155	0.0778536	0.03657691	0.2448803	0.0256739	0.171885	0.0474799	0.317875	0.701915	1.29809	0.4557765	0.735344	1.35991	0.0365769	0.24488	0.015378	0.0974529
