(Intercept),IUCNDD,IUCNEN,IUCNEW,IUCNLC,IUCNNT,IUCNVU
-23.3695061998151,-45513.9290465727,-177.982062106748,-64867.5911293533,-176.05635158837,-179.275500739401,-167.360701632128
-150.190787413623,-43772.3277252661,-263.893996044877,-64941.6606552954,-249.808467366645,-125.765878391976,-328.964544145187
-469.461981931192,-41865.0971818303,-175.566649549219,-66861.858692892,-204.975837908562,-252.941171928454,-270.604518688691
-5.3976760150108,-38966.3526966681,-222.054252442249,-67468.9378147418,-153.527835845845,-165.706729289443,-271.807462359027
119.137625713,-43356.8217440111,-483.400256738125,-71384.2593245836,-366.826092458501,-441.230764980894,-408.572610079602
162.915173330694,-41568.4720906352,-199.097479015196,-73059.9257339616,-225.9403786698,-196.651143946321,-162.24299504509
-121.045663689925,-42030.2121991593,-338.018663318479,-72724.387446817,-390.527257085869,-429.108505202661,-359.430241376591
-305.11366741985,-41471.9741618873,-102.094564367319,-70284.9696509744,-139.406501946469,-63.0175192613387,-162.672582906613
-316.651902755548,-40963.7326449248,-52.6756121294602,-69496.9534811294,-47.9009262408654,-59.9720104231383,-62.2395395241692
1.96518261145138,-41238.6490708369,-235.271436220413,-71638.3422599351,-224.202776966296,-262.229662549304,-228.092919101764
266.838454246768,-39241.0649965533,-175.654479338584,-71930.0402988303,-262.366338599037,-111.205425832945,-238.419625876166
-477.70544882337,-43634.4263031351,-342.02503193283,-75317.8535213014,-327.257208728188,-237.031124978588,-231.299475630338
-529.667826394114,-40931.5182655623,-102.610036385784,-77692.4491936167,-148.220008370468,-154.498596470075,-144.133953262208
-581.742558557119,-41830.2538069995,-450.644702178921,-79228.6177361558,-448.77318038122,-322.785013115679,-531.559226192825
-403.009822653243,-40345.9256956988,-111.605044149708,-77773.0152976995,-141.348918165168,-98.2002821388305,-199.536289613956
-493.29588944334,-39097.6091552431,-72.2887753363757,-77611.5976370473,-22.4674121791104,-1.44881194163827,-54.8820451661377
-246.778559868864,-38796.8633043814,-78.0671888314246,-80030.0669604325,-119.003570928573,-106.226243157842,-87.6532863228563
243.0417782478,-40177.4784730414,-120.744986142236,-82107.6939872861,-268.98755662881,-233.997367958447,-258.933284639505
53.169705755583,-40623.588384299,-208.19225800128,-80401.2933317692,-181.478311789415,-176.517679489985,-118.332299903341
86.8373824388545,-39880.4213184134,-228.070279256768,-79444.7994507317,-217.925920426351,-255.885745608757,-202.478254551272
-176.56964659374,-39423.5398505127,-127.575010953267,-77739.3632395052,-104.755815692886,-116.265012459757,-169.806516004086
-119.479087160784,-38106.7837642756,-155.637074361133,-78328.9416061805,-182.21139631547,-192.154563245946,-198.207869989565
-102.345295040053,-40095.2973764934,-75.7839919043618,-79238.7674141188,-44.6552330211562,-181.30849532086,-70.5030351139503
30.8029414601242,-42104.4242025481,-256.486392241961,-80964.9733155889,-210.83664497568,-224.608431208365,-302.667900528751
79.0217135143394,-42046.3434698442,-224.202999012232,-80634.8070149294,-174.866581868133,-123.500542772061,-176.867576415767
-349.097008731624,-42412.5391135945,-100.208691158346,-77189.085965172,-81.5215426716022,-155.982321134448,10.6983039794577
-127.102783438822,-41457.7908595133,-200.315816840484,-79653.3003974462,-206.268914159471,-207.393125039845,-246.113044795551
-37.9732526293592,-41508.4967333309,-215.176123649318,-78895.7044178757,-268.584932663543,-336.855998885672,-298.157587474998
-604.135425915876,-43925.3258199171,-297.788358826612,-80335.3870498395,-282.603488260822,-280.027884760791,-282.36693958861
