Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Ctenomys_dorsalis,Rodentia,Ctenomyidae,Ctenomys,dorsalis,,,,,,,,,
Ctenomys_emilianus,Rodentia,Ctenomyidae,Ctenomys,emilianus,,,,,,,,,
Ctenomys_famosus,Rodentia,Ctenomyidae,Ctenomys,famosus,,,,,,,,,
Ctenomys_flamarioni,Rodentia,Ctenomyidae,Ctenomys,flamarioni,,,,,,,,,
Ctenomys_fochi,Rodentia,Ctenomyidae,Ctenomys,fochi,,,,,,,,,
Ctenomys_fodax,Rodentia,Ctenomyidae,Ctenomys,fodax,,,,,,,,,
Ctenomys_frater,Rodentia,Ctenomyidae,Ctenomys,frater,,,,,,,,,
Ctenomys_fulvus,Rodentia,Ctenomyidae,Ctenomys,fulvus,,,,,,,,,
Ctenomys_goodfellowi,Rodentia,Ctenomyidae,Ctenomys,goodfellowi,,,,,,,,,
Ctenomys_haigi,Rodentia,Ctenomyidae,Ctenomys,haigi,,Y,0,0,0,,,,
Ctenomys_johannis,Rodentia,Ctenomyidae,Ctenomys,johannis,,,,,,,,,
Ctenomys_juris,Rodentia,Ctenomyidae,Ctenomys,juris,,,,,,,,,
Ctenomys_knighti,Rodentia,Ctenomyidae,Ctenomys,knighti,,,,,,,,,
Ctenomys_lami,Rodentia,Ctenomyidae,Ctenomys,lami,,,,,,,,,
Ctenomys_latro,Rodentia,Ctenomyidae,Ctenomys,latro,,,,,,,,,
Ctenomys_leucodon,Rodentia,Ctenomyidae,Ctenomys,leucodon,,,,,,,,,
Ctenomys_lewisi,Rodentia,Ctenomyidae,Ctenomys,lewisi,,,,,,,,,
Ctenomys_magellanicus,Rodentia,Ctenomyidae,Ctenomys,magellanicus,,,,,,,,,
Ctenomys_maulinus,Rodentia,Ctenomyidae,Ctenomys,maulinus,,,,,,,,,
Ctenomys_mendocinus,Rodentia,Ctenomyidae,Ctenomys,mendocinus,,Y,0,0,0,,,,
Ctenomys_minutus,Rodentia,Ctenomyidae,Ctenomys,minutus,,,,,,,,,
Ctenomys_occultus,Rodentia,Ctenomyidae,Ctenomys,occultus,,,,,,,,,
Ctenomys_opimus,Rodentia,Ctenomyidae,Ctenomys,opimus,,Y,0,0,0,,,,
