Species,Common_Name,GP,BM,AFM,MR,RDM,TSP,PC,FWA,FAM,MAM,NB,SDT,GL,SPI,NAC,GIM,GFE,MMC,BG,MGS,DHE,DCA,DPMI,DIN,DFR,DGR,DCE,DMOC,IUCN,SOG,Modifiers,FSSB,MSSB,SSB,Column Name Key,Mating Group Structures Key
Lagenorhynchus_obscurus,Dusky Dolphin,13.0,9.6,78.5000,0.1222929936,N,Y,1.0,12.2,60.9,60.9,N,N,Y,N,Y,Y,N,Y,N,MMG,N,N,Y,N,N,N,N,N,LC,,MC,0,0,0,,
Lagothrix_lagotricha,Brown Woolly Monkey,7.5,0.35,6.0000,0.05833333333,N,Y,1.0,11.2,72.0,96.0,Y,Y,Y,Y,Y,Y,N,Y,N,MMG,Y,N,N,Y,Y,Y,N,N,VU,,,0,0,0,,
Lama_guanicoe,Guanaco,11.7,13,115.0000,0.1130434783,N,Y,1.0,7.0,24.0,24.0,N,Y,Y,N,Y,Y,N,N,Y,HBG,Y,N,N,N,N,N,N,N,LC,,SS,0,0,0,,
Lasionycteris_noctivagans,Silver-haired Bat,1.8,0.00192,0.0096,0.2,N,N,1.8,1.2,5.1,5.1,N,N,N,N,N,N,N,N,N,SO,N,N,N,Y,N,N,N,N,LC,Y,"OG, MC, DI",0,0,0,,
Lasiurus_borealis,Eastern Red Bat,2.8,0.0015,0.0130,0.1153846154,N,N,2.3,1.3,,,N,N,N,N,N,N,N,N,N,SO,N,N,N,Y,N,N,N,N,LC,N,DI,0,0,0,,
Lasiurus_cinereus,Hoary Bat,1.9,0.00512,0.0280,0.1828571429,N,N,2.0,1.2,,,N,N,N,N,N,N,N,N,N,SO,N,N,N,Y,N,N,N,N,LC,N,DI,0,0,0,,
Lemur_catta,Ring-tailed Lemur,4.5,0.0758,2.2000,0.03445454545,N,Y,1.2,3.0,18.0,18.0,N,Y,Y,Y,Y,Y,N,Y,N,MMG,Y,N,N,Y,Y,N,N,Y,EN,,,0,0,0,,
Leontopithecus_rosalia,Golden Lion Tamarin,4.3,0.05189,0.7950,0.06527044025,N,N,1.9,3.5,23.0,25.5,N,N,N,Y,Y,N,N,N,N,MOP,N,N,N,Y,Y,Y,N,Y,EN,N,,1,1,1,,
Leopardus_pardalis,Ocelot,2.7,0.25,9.0000,0.02777777778,N,N,1.3,3.5,22.1,20.0,Y,N,N,N,N,N,N,N,N,SO,N,Y,N,N,N,N,N,N,LC,N,,0,0,0,,
Leptonychotes_weddellii,Weddell Seal,10.5,27.5,500.0000,0.055,N,Y,1.0,1.2,51.1,52.9,N,N,N,N,N,Y,N,Y,N,MMG,N,N,Y,N,N,N,N,N,LC,N,"DI, MA, AS",0,0,0,,
Lepus_americanus,Snowshoe Hare,1.2,0.06784,1.3500,0.05025185185,N,N,3.5,0.8,8.6,,N,N,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,N,LC,N,SMG,0,0,0,,
Lepus_capensis,Cape Hare,1.4,0.11409,2.1000,0.05432857143,N,N,1.5,0.9,6.7,,Y,N,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,N,LC,Y,"SMG, OG",0,0,0,,
Lepus_europaeus,European Hare,1.4,0.123,4.2500,0.02894117647,N,N,3.3,1.0,7.6,6.0,N,N,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,N,LC,Y,"SMG, OG",0,0,0,,
Lepus_timidus,Mountain Hare,1.7,0.11349,2.9000,0.03913448276,N,N,3.2,0.8,8.9,8.9,N,N,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,N,N,N,N,LC,,SMG,0,0,0,,
Lontra_canadensis,North American River Otter,2.0,0.13594,7.8500,0.01731719745,N,N,2.7,3.0,24.3,24.3,N,N,Y,N,N,Y,Y,N,Y,SSG,N,N,Y,N,N,N,N,Y,LC,,DI,0,0,0,,
Lophocebus_albigena,Gray-cheeked Mangabey,6.2,0.49858,5.6000,0.08903214286,N,Y,1.0,8.5,36.0,72.0,Y,N,Y,N,N,Y,N,Y,N,MMG,Y,N,N,Y,Y,Y,N,Y,VU,,,1,0,1,,
Loxodonta_africana,African Savanna Elephant,22.0,105,2800.0000,0.0375,Y,Y,1.0,36.3,141.8,150.0,N,Y,Y,N,Y,Y,Y,N,Y,SSG,Y,N,N,N,Y,Y,N,N,EN,,SS,1,1,1,,
Lutra_lutra,European Otter,2.0,0.13,7.5000,0.01733333333,N,N,2.5,3.4,30.0,30.0,N,Y,Y,N,N,Y,Y,N,N,FEG,N,N,Y,N,N,N,N,Y,NT,,,0,0,0,,
Lycaon_pictus,African wild dog,2.4,0.325,22.2500,0.01460674157,N,N,10.5,2.0,23.5,21.3,Y,Y,Y,Y,Y,Y,N,Y,N,MMG,N,Y,N,N,N,N,N,N,EN,,,0,0,0,,
Lynx_canadensis,Canadian Lynx,2.1,0.204,8.6000,0.02372093023,N,N,4.5,3.0,17.9,19.1,N,Y,N,N,N,N,N,N,N,SO,N,Y,N,N,N,N,N,N,LC,N,,0,0,0,,
Lynx_lynx,Eurasian Lynx,2.3,0.289,22.0000,0.01313636364,N,N,2.3,2.7,22.0,33.5,N,Y,N,N,N,N,N,N,N,SO,N,Y,N,N,N,N,N,N,LC,N,,0,0,0,,
Lynx_pardinus,Iberian Lynx,2.3,,10.0000,,N,N,2.5,,,,N,Y,N,N,N,N,N,N,N,SO,N,Y,N,N,N,N,N,N,VU,N,,0,0,0,,
Lynx_rufus,Bobcat,2.0,0.35,7.5000,0.04666666667,N,N,2.8,2.3,21.3,24.0,Y,Y,N,N,N,N,N,N,N,SO,N,Y,N,N,N,N,N,N,LC,N,,0,0,0,,
