i	lambda0	lambda1	mu0	mu1	q01	q10	p
40	0.0629520687456036	0.203529179291721	0.153740015486691	0.0548113923988328	0.0255828583086588	0.180697375678205	-1595.01923681079
41	0.0672332143967598	0.205953576500396	0.164188067552832	0.0469355908576591	0.0379420609968106	0.203205574841918	-1593.1770005822
42	0.0787861357123458	0.193148831597089	0.165456147384733	0.0331834590531074	0.0462506649165657	0.213590848745552	-1591.1189013032
43	0.0665805503956479	0.194679158384652	0.168227112884537	0.0418767459415744	0.0667003265900661	0.214550756053045	-1592.09907566478
44	0.0736498204243352	0.192059016524555	0.156735769924611	0.0396315787897191	0.0572890163006642	0.20814958028925	-1591.11498772128
45	0.0580206678384625	0.192004808112665	0.147236521644421	0.0421813366038466	0.045573769375769	0.209778429938606	-1591.28443889094
46	0.0722123479545986	0.186008141029149	0.146503374499476	0.0424931927573167	0.0435692771394677	0.193537063565157	-1589.71081799091
47	0.0507338374320258	0.195034471311558	0.118639905484581	0.0662152808810749	0.0801878392788956	0.229862299375937	-1590.04044178388
48	0.0522096152649318	0.197860442387116	0.112789333336616	0.0688314259473637	0.0693260458729316	0.205579411749248	-1590.2066987069
49	0.0534390468149503	0.202076048735705	0.143775451883393	0.0589028694506646	0.0713739883898139	0.222370835312738	-1591.22203482482
50	0.0715938507617937	0.202777788502491	0.159117614893447	0.0525568022150703	0.0702231208739936	0.238109144045136	-1591.2050857117
51	0.0864275104870574	0.194486600047559	0.147789528378332	0.0592704316824831	0.0763823571627966	0.228840437387182	-1591.6500943363
52	0.0869777823138536	0.184855607026727	0.155497385805669	0.0530656669158411	0.0815255737776734	0.231400822750358	-1590.9172897028
53	0.065669838179863	0.203694059692992	0.144935989540046	0.0728959991743124	0.0885055085324549	0.233229099101673	-1591.02424606037
54	0.0830936547196673	0.184647756527177	0.136370987509532	0.0571584213649711	0.08575589197286	0.23929842234142	-1590.88034640187
55	0.0771146010377846	0.184154291243086	0.146847687630576	0.049577188301407	0.0868015222001128	0.246111520715243	-1590.16884411335
56	0.0731968897165201	0.186118408754131	0.131023754567501	0.0614096080009686	0.0948397853161447	0.233600102482686	-1590.36312458188
57	0.0531235176666481	0.191027449128697	0.123474223250294	0.059455048473732	0.0772414196069195	0.220798833481345	-1589.67742904433
58	0.06940076337159	0.169476025992015	0.120315076878724	0.0615093148499988	0.109560227652158	0.245634125614848	-1590.29317924143
