Species,Common Name,Gestation Period (m),Birth Mass (kg),Adult Female Mass (kg),Radically Dimorphic Morphology?,Typically single progeny?,Progeny Count,Fully Weaned Age (m),Female Age of Maturity (m),Male age of Maturity (m),Nonseasonal Breeding?,Some Degree of Territoriality?,Group Living (Beyond families)?,Deep Paternal involvement?,Notable Alloparental Care Beyond Alerts?,Generally Female Exclusive Groups?,Multimale Coed Groups?,Bachelor Groups?,Herbivorous?,Carnivorous?,Piscivorous/Marine Inverts?,Insectivorous?,Frugivorous?,Granivorous?,Carrion Eater?,Minorly Opportunist Carnivore?,IUCN Designation,Modifiers,Base Social Form,Modifier,Full Sociality,Species,Female_Homosexuality,Male_Homosexuality,SSB,Solitary,Social_monogamy,Group_living
Balaenoptera borealis,Sei Whale,10.5,780,30000.0000,N,Y,1.0,7.0,108.0,108.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,EN,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Balaenoptera_borealis,0,0,0,Yes,No,No
Balaenoptera edeni,Bryde's Whale,11.5,900,15800.0000,N,Y,1.0,6.0,82.0,82.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,LC,"OG, SMG",Solitary, with occasional grouping,Solitary with occasional grouping,Balaenoptera_edeni,0,0,0,Yes,No,No
Balaenoptera musculus,Blue Whale,10.9,2500,133000.0000,N,Y,1.0,6.6,108.0,108.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,EN,"OG, SMG",Solitary, with occasional grouping,Solitary with occasional grouping,Balaenoptera_musculus,0,0,0,Yes,No,No
Balaenoptera physalus,Fin Whale,11.3,1250,78000.0000,N,Y,1.0,6.6,75.0,54.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,VU,"OG, SMG",Solitary, with occasional grouping,Solitary with occasional grouping,Balaenoptera_physalus,0,0,1,Yes,No,No
Barbastella barbastellus,Western Barbastelle,8.5,*0.0021,0.0100,N,N,1.7,1.4,12.0,,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,NT,"MC, AS",Multimale-Multifemale,,Multimale-Multifemale,Barbastella_barbastellus,0,1,1,Yes,No,No
Bison bison,American Bison,9.5,20,452.0000,Y,Y,1.0,12.0,30.4,27.4,N,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,NT,SS,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Bison_bison,1,1,1,No,No,Yes
Bison bonasus,European Bison,8.9,26,540.0000,Y,Y,1.0,9.4,32.0,36.0,N,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,NT,SS,Harem with bachelor groups,,Harem with bachelor groups,Bison_bonasus,1,1,1,No,No,Yes
Blarina brevicauda,Northern Short-tailed Shrew,0.7,0.00089,0.0205,N,N,4.5,0.8,1.7,1.7,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,LC,,Solitary,,Solitary,Blarina_brevicauda,0,0,0,Yes,No,No
Bos gaurus,Gaur,9.2,23,600.0000,Y,N,1.0,8.0,24.0,26.0,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,VU,SS,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Bos_gaurus,0,0,0,No,No,Yes
Brachyteles arachnoides,Southern Muriqui,7.2,0.315,8.5000,N,Y,1.0,24.0,84.0,84.0,N,N,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,CR,,Multimale-Multifemale,,Multimale-Multifemale,Brachyteles_arachnoides,0,0,0,No,No,Yes
