Species,Common Name,Gestation Period (m),Birth Mass (kg),Adult Female Mass (kg),Radically Dimorphic Morphology?,Typically single progeny?,Progeny Count,Fully Weaned Age (m),Female Age of Maturity (m),Male age of Maturity (m),Nonseasonal Breeding?,Some Degree of Territoriality?,Group Living (Beyond families)?,Deep Paternal involvement?,Notable Alloparental Care Beyond Alerts?,Generally Female Exclusive Groups?,Multimale Coed Groups?,Bachelor Groups?,Herbivorous?,Carnivorous?,Piscivorous/Marine Inverts?,Insectivorous?,Frugivorous?,Granivorous?,Carrion Eater?,Minorly Opportunist Carnivore?,IUCN Designation,Modifiers,Base Social Form,Modifier,Full Sociality,Species,Female_Homosexuality,Male_Homosexuality,SSB,Solitary,Social_monogamy,Group_living
Osphranter robustus,Common Wallaroo,1.1,0.0007,24.0000,Y,Y,1.0,16.0,14.0,18.0,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC,"OG, SMG",Solitary, with occasional grouping,Solitary with occasional grouping,Macropus_robustus,0,0,1,No,No,Yes
Notamacropus rufogriseus,Red-necked Wallaby,1.0,0.00053,13.5000,N,Y,1.0,15.5,13.0,19.0,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC,"SMG, OG",Solitary, with occasional grouping,Solitary with occasional grouping,Macropus_rufogriseus,1,1,1,No,No,Yes
Osphranter rufus,Red Kangaroo,1.1,0.00081,28.0000,Y,Y,1.0,12.0,15.0,24.0,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,LC,SS,Multimale-Multifemale,,Multimale-Multifemale,Macropus_rufus,0,1,1,No,No,Yes
Marmota marmota,Alpine Marmot,1.1,0.02974,3.7000,N,N,4.0,1.6,27.6,24.3,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,N,Y,LC,SS,Harem,,Harem,Marmota_marmota,0,0,0,No,No,Yes
Marmota monax,Woodchuck,1.0,0.02719,3.7000,N,N,4.3,1.5,18.1,18.3,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,LC,,Solitary,,Solitary,Marmota_monax,0,0,0,No,No,Yes
Martes americana,American Marten,0.9,0.028,0.5650,Y,N,2.6,1.5,15.2,15.2,N,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,LC,DI,Solitary,,Solitary,Martes_americana,0,0,0,Yes,No,No
Martes foina,Beech Marten,1.0,0.03,1.7000,N,N,3.8,2.4,18.3,24.3,N,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,LC,DI,Solitary,,Solitary,Martes_foina,0,0,0,Yes,No,No
Martes martes,European Pine Marten,1.0,0.03,1.1000,N,N,3.5,1.7,16.9,14.2,N,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,LC,DI,Solitary,,Solitary,Martes_martes,1,1,1,Yes,No,No
Martes pennanti,Fisher,1.0,0.05,2.2500,Y,N,3.0,2.6,13.8,12.2,N,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,LC,DI,Solitary,,Solitary,Martes_pennanti,0,0,0,Yes,No,No
Mastomys natalensis,Natal Mastomys,0.7,0.00198,0.0565,N,N,8.9,0.7,2.4,2.2,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,LC,,Solitary,,Solitary,Mastomys_natalensis,0,0,0,Yes,No,No
Megaptera novaeangliae,Humpback Whale,11.3,900,32500.0000,N,Y,1.0,8.0,54.8,54.8,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,LC,SS,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Megaptera_novaeangliae,0,0,0,Yes,No,No
Meles meles,European Badger,1.7,0.075,12.0000,N,N,3.1,2.5,13.4,12.2,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,Y,Y,LC,"DI, SS",Multimale-Multifemale,,Multimale-Multifemale,Meles_meles,0,0,0,No,No,Yes
Mellivora capensis,Honey Badger,2.0,0.21,9.9000,N,N,1.7,0.8,14.0,30.0,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,LC,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Mellivora_capensis,0,0,0,Yes,No,No
Mephitis mephitis,Striped Skunk,2.2,0.03319,2.1000,N,N,5.4,1.7,11.2,11.2,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,LC,"DI, OG",Solitary, with occasional grouping,Solitary with occasional grouping,Mephitis_mephitis,0,0,0,Yes,No,No
Meriones unguiculatus,Mongolian Jird,0.8,0.00285,0.0560,N,N,5.0,0.8,1.9,1.2,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,Y,N,N,LC,,Multimale-Multifemale,,Multimale-Multifemale,Meriones_unguiculatus,0,0,0,No,No,Yes
Mesoplodon densirostris,Blainville's Beaked Whale,12.0,60.0000,,Y,Y,1.0,13.0,109.6,109.6,,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,LC,,Harem,,Harem,Mesoplodon_densirostris,0,0,0,Yes,No,No
Microcebus murinus,Gray Mouse Lemur,2.0,0.0059,0.0600,N,N,2.2,1.4,10.0,8.1,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,Y,LC,"OG, MC",Solitary, with occasional grouping,Solitary with occasional grouping,Microcebus_murinus,0,0,0,No,No,Yes
Micromys minutus,Harvest Mouse,0.7,0.00084,0.0075,N,N,4.9,0.6,1.5,1.5,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,LC,,Solitary,,Solitary,Micromys_minutus,0,0,0,Yes,No,No
Microtus agrestis,Field Vole,0.7,0.0022,0.0326,N,N,4.7,0.6,0.9,1.4,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,LC,,Solitary,,Solitary,Microtus_agrestis,0,0,0,Yes,No,No
Microtus arvalis,Common Vole,0.7,0.0021,0.0250,N,N,4.2,0.6,0.9,1.9,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,Y,LC,MC,Monogamous,,Monogamous,Microtus_arvalis,0,0,0,No,No,Yes
Microtus californicus,California Vole,0.7,0.0028,0.0434,N,N,4.4,0.6,0.8,1.4,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,LC,OG,Monogamous, with occasional grouping,Monogamous with occasional grouping,Microtus_californicus,0,0,0,Yes,No,No
Microtus montanus,Montane Vole,0.7,0.00389,0.0470,N,N,5.5,0.5,0.8,0.8,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC,,Solitary,,Solitary,Microtus_montanus,0,0,0,Yes,No,No
Microtus ochrogaster,Prairie Vole,0.7,0.00294,0.0420,N,N,3.9,0.7,1.6,1.4,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,LC,,Monogamous,,Monogamous,Microtus_ochrogaster,0,0,0,No,Yes,No
Microtus oeconomus,Root Vole,0.7,0.00234,0.0520,N,N,5.6,0.7,1.5,1.5,N,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,Y,N,N,LC,OG,Monogamous, with occasional grouping,Monogamous with occasional grouping,Microtus_oeconomus,0,0,0,No,No,Yes
Microtus pennsylvanicus,Meadow Vole,0.7,0.0024,0.0440,N,N,5.2,0.4,1.0,1.1,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,LC,,Solitary,,Solitary,Microtus_pennsylvanicus,0,0,0,No,No,Yes
Microtus townsendii,Townsend's Vole,0.8,0.0025,0.0550,N,N,4.1,0.5,1.7,1.7,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC,,Solitary,,Solitary,Microtus_townsendii,0,0,0,No,No,Yes
Miniopterus schreibersii,Schreibers's Long-fingered Bat,3.8,0.00286,0.0120,N,Y,1.0,2.0,12.0,24.3,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,VU,"DI, MC, AS",Multimale-Multifemale,,Multimale-Multifemale,Miniopterus_schreibersii,0,1,1,Yes,No,No
Miopithecus talapoin,Angolan Talapoin,5.5,0.17904,0.7750,N,Y,1.0,5.8,53.9,96.0,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,VU,,Variable Group Structure,,Variable Group Structure,Miopithecus_talapoin,1,1,1,No,No,Yes
Mirounga angustirostris,Northern Elephant Seal,7.5,34.38177,450.0000,Y,Y,1.0,0.9,36.0,78.0,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC,"MA, DI, AS",Multimale-Multifemale, in mating aggregations,Multimale-Multifemale in mating aggregations,Mirounga_angustirostris,1,1,1,No,No,Yes
Mirounga leonina,Southern Elephant Seal,8.1,39.39297,700.0000,Y,Y,1.0,0.7,36.0,60.0,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC,"MA, DI, AS",Multimale-Multifemale, in mating aggregations,Multimale-Multifemale in mating aggregations,Mirounga_leonina,0,0,0,No,No,Yes
Monachus monachus,Mediterranean Monk Seal,10.8,20,270.0000,Y,Y,1.0,3.9,36.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,VU,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Monachus_monachus,0,0,0,No,Yes,No
Mungos mungo,Banded Mongoose,2.0,0.035,1.3600,N,N,3.2,0.8,11.5,11.6,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,LC,,Multimale-Multifemale,,Multimale-Multifemale,Mungos_mungo,0,0,0,No,No,Yes
Muntiacus muntjak,Red Muntjac,7.0,1.37139,24.0000,Y,Y,1.1,2.1,9.1,11.1,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,LC,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Muntiacus_muntjak,1,1,1,Yes,No,No
Muntiacus reevesi,Reeves' Muntjac,7.1,1.2,12.5000,Y,Y,1.0,4.0,6.5,,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,LC,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Muntiacus_reevesi,0,1,1,Yes,No,No
Mus musculus,House Mouse,0.7,0.00106,0.0250,N,N,5.8,0.7,1.8,1.4,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,LC,,Female exclusive groups,,Female exclusive groups,Mus_musculus,1,1,1,Yes,No,No
Mus spretus,Western Mediterranean Mouse,0.7,0.0013,0.0130,N,N,5.3,0.6,1.4,1.6,N,Y,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,LC,,Solitary,,Solitary,Mus_spretus,0,0,0,Yes,No,No
Mustela erminea,Ermine,1.2,0.00345,0.2000,N,N,6.7,1.8,3.2,12.2,N,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,LC,DI,Solitary,,Solitary,Mustela_erminea,0,0,0,Yes,No,No
Mustela lutreola,European Mink,1.1,0.008,0.5425,N,N,4.5,2.2,10.8,10.8,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,CR,DI,Solitary,,Solitary,Mustela_lutreola,0,0,0,Yes,No,No
Mustela nigripes,Black-footed Ferret,1.4,0.00739,0.8090,N,N,3.4,2.0,12.2,12.2,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,EN,,Solitary,,Solitary,Mustela_nigripes,0,0,0,Yes,No,No
Mustela nivalis,Least Weasel,1.2,0.0015,0.1250,N,N,5.1,1.7,3.0,4.0,Y,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,LC,,Solitary,,Solitary,Mustela_nivalis,0,0,0,Yes,No,No
Mustela putorius,European Polecat,1.4,0.0095,0.6575,N,N,7.9,1.0,10.3,10.7,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,LC,,Solitary,,Solitary,Mustela_putorius,0,0,0,Yes,No,No
Myocastor coypus,Coypu (Nutria),4.4,0.22,6.3000,N,N,5.3,1.9,5.3,5.1,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,LC,SS,Multimale-Multifemale,,Multimale-Multifemale,Myocastor_coypus,0,0,0,No,No,Yes
Myodes glareolus,Bank Vole,0.7,0.002,0.0365,N,N,5.2,0.6,1.7,2.0,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,LC,,Solitary,,Solitary,Myodes_glareolus,0,0,0,Yes,No,No
Myotis bechsteinii,Bechstein's Myotis,2.0,*0.00231,0.0110,N,Y,1.0,,,,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,NT,"MA, MC",Multimale-Multifemale, in mating aggregations,Multimale-Multifemale in mating aggregations,Myotis_bechsteinii,0,1,1,No,No,Yes
Myotis daubentonii,Daubenton's Myotis,1.8,0.002,0.0080,N,Y,1.2,1.2,12.0,10.0,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC,"AS, SS, MC",Multimale-Multifemale,,Multimale-Multifemale,Myotis_daubentonii,0,1,1,No,No,Yes
Myotis lucifugus,Little Brown Myotis,1.9,0.00218,0.0090,N,Y,1.0,0.9,8.2,12.0,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,EN,"AS, MC, DI",Multimale-Multifemale,,Multimale-Multifemale,Myotis_lucifugus,0,1,1,No,No,Yes
Myotis myotis,Mouse-eared Myotis,2.4,0.006,0.0240,N,N,1.5,1.4,15.0,16.7,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC,"AS, MC, SS",Multimale-Multifemale,,Multimale-Multifemale,Myotis_myotis,0,1,1,No,No,Yes
Myotis mystacinus,Whiskered Myotis,,*1.155,0.0055,N,Y,1.0,,12.2,15.2,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC,"MA, AS, MC, DI",Multimale-Multifemale, in mating aggregations,Multimale-Multifemale in mating aggregations,Myotis_mystacinus,0,1,1,No,No,Yes
Myotis septentrionalis,Northern Myotis,1.8,*0.00168,0.0080,N,Y,1.0,1.2,12.2,12.2,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,NT,"OG, MC, DI",Solitary, with occasional grouping,Solitary with occasional grouping,Myotis_septentrionalis,0,0,0,Yes,No,No
Myotis sodalis,Indiana Myotis,2.1,0.00453,0.0080,N,Y,1.0,1.0,11.9,11.9,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,NT,"SS, AS, MC, DI",Multimale-Multifemale,,Multimale-Multifemale,Myotis_sodalis,0,0,0,No,No,Yes
Nanger granti,Grant's Gazelle,6.7,5.21517,52.5000,Y,Y,1.0,,14.5,18.0,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,LC,,Harem with bachelor groups,,Harem with bachelor groups,Nanger_granti,1,1,1,No,No,Yes
Nasalis larvatus,Proboscis Monkey,5.5,0.45,9.6370,Y,Y,1.0,7.1,50.0,60.0,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,EN,,Harem with bachelor groups,,Harem with bachelor groups,Nasalis_larvatus,1,1,1,No,No,Yes
Nasua narica,White-nosed Coati,2.5,0.14,4.4000,N,N,4.0,4.0,22.0,34.0,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,Y,LC,,Harem,,Harem,Nasua_narica,0,0,0,No,No,Yes
Nasua nasua,South American Coati,2.5,0.14491,4.3000,N,N,3.7,3.4,26.2,24.3,N,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,LC,,Female exclusive groups,,Female exclusive groups,Nasua_nasua,0,0,0,No,No,Yes
Neofelis nebulosa,Clouded Leopard,3.0,0.16649,16.0000,N,N,2.3,3.0,25.1,30.0,,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,VU,,Solitary,,Solitary,Neofelis_nebulosa,0,0,0,Yes,No,No
Neomys fodiens,Eurasian Water Shrew,0.7,0.00075,0.0168,N,N,6.0,1.2,5.3,3.5,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,LC,,Solitary,,Solitary,Neomys_fodiens,0,0,0,Yes,No,No
Neophoca cinerea,Australian Sealion,14.0,7.14762,77.1000,Y,Y,1.2,17.0,54.0,72.0,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,EN,"DI, AS",Harem,,Harem,Neophoca_cinerea,1,1,1,No,No,Yes
Neophocaena phocaenoides,Indo-Pacific Finless Porpoise,10.8,6.8,42.5000,N,Y,1.0,10.6,66.0,54.0,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,VU,SS,Multimale-Multifemale,,Multimale-Multifemale,Neophocaena_phocaenoides,0,0,0,No,Yes,No
Neovison vison,American Mink,1.0,0.0086,0.6450,Y,N,4.8,1.4,12.0,18.0,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,LC,DI,Solitary,,Solitary,Neovison_vison,0,0,0,Yes,No,No
Nyctalus leisleri,Leisler's Noctule,,*0.00294,0.0140,N,N,1.7,0.8,,,N,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,LC,"MA, OG, MC, DI",Harem with bachelor groups," in mating aggregations, generally solitary with minor groupings outside them","Harem with bachelor groups in mating aggregations, generally solitary with minor groupings outside them",Nyctalus_leisleri,0,1,1,No,No,Yes
Nyctalus noctula,Noctule,2.1,0.00557,0.0300,N,N,1.7,0.8,13.8,13.5,N,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,LC,"MA, OG, MC, DI",Harem with bachelor groups," in mating aggregations, generally solitary with minor groupings outside them","Harem with bachelor groups in mating aggregations, generally solitary with minor groupings outside them",Nyctalus_noctula,0,1,1,No,No,Yes
Nyctereutes procyonoides,Raccoon dog,2.1,0.11,7.7500,N,N,6.4,1.7,10.9,10.1,N,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,N,Y,N,LC,,Monogamous,,Monogamous,Nyctereutes_procyonoides,0,0,1,No,Yes,No
Nycticebus coucang,Sunda Slow Loris,6.4,0.05047,0.7425,N,Y,1.1,6.0,20.6,22.0,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,EN,"SMG, OG",Monogamous, with occasional grouping,Monogamous with occasional grouping,Nycticebus_coucang,0,0,0,Yes,No,No
Octodon degus,Degu,3.0,0.01419,0.2250,N,N,5.3,1.0,3.3,3.3,N,N,Y,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,LC,,Harem,,Harem,Octodon_degus,1,1,1,No,No,Yes
Odobenus rosmarus,Walrus,11.9,60.6,1000.0000,Y,Y,1.2,27.0,96.0,120.0,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,VU,"OG, AS, MA",Segregated Sexes," in mating aggregations, generally solitary with minor groupings outside them","Segregated Sexes in mating aggregations, generally solitary with minor groupings outside them",Odobenus_rosmarus,0,1,1,No,No,Yes
Odocoileus hemionus,Mule Deer,6.8,3.35,50.0000,Y,N,1.6,3.5,18.0,18.0,N,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,LC,SS,Segregated Sexes,,Segregated Sexes,Odocoileus_hemionus,1,1,1,Yes,No,No
Odocoileus virginianus,White-tailed Deer,6.6,2.85,55.0000,Y,N,1.6,4.0,16.0,18.0,N,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,Y,LC,,Segregated Sexes,,Segregated Sexes,Odocoileus_virginianus,1,1,1,Yes,No,No
Ondatra zibethicus,Common Muskrat,0.9,0.02199,1.2500,N,N,6.6,0.9,9.5,9.5,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,LC,,Solitary,,Solitary,Ondatra_zibethicus,0,0,0,No,Yes,No
Orcinus orca,Killer Whale,16.0,170,2500.0000,Y,Y,1.0,14.5,150.0,180.0,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,DD,,Multimale-Multifemale,,Multimale-Multifemale,Orcinus_orca,0,1,1,No,No,Yes
Oreamnos americanus,Mountain Goat,6.3,3.08081,67.5000,N,Y,1.4,3.1,30.4,30.4,N,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,LC,,Segregated Sexes,,Segregated Sexes,Oreamnos_americanus,0,0,0,Yes,No,No
Oreotragus oreotragus,Klipspringer,7.2,1.13,13.2000,N,Y,1.0,4.6,12.2,12.2,Y,Y,N,Y,N,N,N,N,Y,N,N,N,Y,Y,N,N,LC,,Monogamous,,Monogamous,Oreotragus_oreotragus,0,0,0,No,Yes,No
Ornithorhychus anatinus,Platypus,0.7,,1.1000,N,N,2.0,4.0,21.5,18.3,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,NT,,Solitary,,Solitary,Ornithorhynchus_anatinus,0,0,0,Yes,No,No
Orycteropus afer,Aardvark,7.7,1.7,52.5000,N,Y,1.1,3.4,25.2,24.3,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC,,Solitary,,Solitary,Orycteropus_afer,0,0,0,Yes,No,No
Oryctolagus cuniculus,European Rabbit,1.0,0.03911,2.2500,N,N,4.0,0.7,3.5,3.5,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,EN,SS,Harem,,Harem,Oryctolagus_cuniculus,1,1,1,Yes,No,No
Oryx gazella,Gemsbok,8.5,,200.0000,N,Y,1.0,5.0,23.0,18.3,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,LC,SS,Multimale-Multifemale,,Multimale-Multifemale,Oryx_gazella,0,0,0,No,No,Yes
Oryx leucoryx,Arabian Oryx,8.0,,62.0000,N,Y,1.0,4.5,24.4,18.3,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,VU,SS,Harem,,Harem,Oryx_leucoryx,0,0,0,No,No,Yes
Otaria flavescens,South American Sealion,10.4,12.81999,144.0000,Y,Y,1.0,9.0,48.7,66.0,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,LC,SS,Multimale-Multifemale,,Multimale-Multifemale,Otaria_flavescens,0,0,0,No,No,Yes
Otocyon megalotis,Bat-eared Fox,2.3,0.1207,4.3000,N,N,3.0,1.4,8.5,8.5,N,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,Y,LC,OG,Monogamous, with occasional grouping,Monogamous with occasional grouping,Otocyon_megalotis,0,0,0,No,Yes,No
Ovibos moschatus,Muskox,8.0,10.7,290.0000,N,Y,1.0,12.0,36.0,36.0,N,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,LC,,Harem with bachelor groups,,Harem with bachelor groups,Ovibos_moschatus,1,1,1,No,No,Yes
Ovis ammon,Argali,5.4,4,90.0000,N,Y,1.0,4.0,30.0,27.4,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,NT,,Variable Group Structure,,Variable Group Structure,Ovis_ammon,0,1,1,No,No,Yes
Ovis canadensis,Bighorn Sheep,5.9,3.6,59.0000,Y,Y,1.2,4.8,25.0,18.0,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,LC,,Variable Group Structure,,Variable Group Structure,Ovis_canadensis,1,1,1,No,No,Yes
Ovis dalli,Dall's Sheep,5.7,3.65,56.8000,N,Y,1.2,4.1,18.0,23.1,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,LC,,Variable Group Structure,,Variable Group Structure,Ovis_dalli,1,1,1,No,No,Yes
Ovis gmelini,Red Sheep,5.2,3,40.0000,Y,Y,1.2,6.1,18.3,29.0,N,N,Y,N,N,,,,Y,N,N,N,N,N,N,N,NT,,,,,Ovis_orientalis,1,1,1,No,No,Yes
Pan paniscus,Bonobo,7.7,1.39953,31.0000,N,Y,1.0,36.0,144.0,120.0,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,Y,EN,,Multimale-Multifemale,,Multimale-Multifemale,Pan_paniscus,1,1,1,No,No,Yes
Pan troglodytes,Common Chimpanzee,7.7,1.74502,35.0000,Y,Y,1.1,54.0,90.0,90.0,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,EN,,Multimale-Multifemale,,Multimale-Multifemale,Pan_troglodytes,1,1,1,No,No,Yes
Panthera leo,Lion,3.6,1.5,126.0000,Y,N,2.8,6.9,36.5,26.0,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,VU,SS,Harem with bachelor groups,,Harem with bachelor groups,Panthera_leo,1,1,1,No,No,Yes
Panthera onca,Jaguar,3.3,0.8173,65.0000,N,N,2.0,5.5,27.0,30.0,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,NT,,Solitary,,Solitary,Panthera_onca,0,0,0,Yes,No,No
Panthera pardus,Leopard,3.2,0.55339,53.0000,N,N,2.1,3.9,31.2,25.7,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,VU,,Solitary,,Solitary,Panthera_pardus,0,0,0,Yes,No,No
Panthera tigris,Tiger,3.4,1.2,117.5000,N,N,2.9,6.0,42.3,47.2,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,EN,,Solitary,,Solitary,Panthera_tigris,0,0,0,Yes,No,No
Panthera uncia,Snow leopard,3.3,0.4426,34.0000,N,N,2.2,2.3,26.2,24.3,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,VU,,Solitary,,Solitary,Panthera_uncia,0,0,0,Yes,No,No
Papio cynocephalus,Yellow Baboon,6.0,0.76,10.5000,Y,Y,1.0,13.0,60.0,96.0,Y,N,Y,N,N,N,Y,N,Y,Y,N,Y,Y,Y,N,N,LC,,Multimale-Multifemale,,Multimale-Multifemale,Papio_cynocephalus,1,1,1,No,No,Yes
Papio hamadryas,Hamadryas Baboon,5.8,0.86,12.5000,Y,Y,1.0,10.0,52.8,72.0,Y,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,Y,N,N,LC,SS,Harem,,Harem,Papio_hamadryas,1,1,1,No,No,Yes
Papio ursinus,Chacma Baboon,6.2,0.7,16.0000,Y,Y,1.0,,75.0,58.7,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,LC,,Multimale-Multifemale,,Multimale-Multifemale,Papio_ursinus,1,1,1,No,No,Yes
Pecari tajacu,Collared Peccary,4.8,0.61853,22.0000,N,N,1.6,1.4,10.8,11.9,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,LC,,Multimale-Multifemale,,Multimale-Multifemale,Pecari_tajacu,1,1,1,No,No,Yes
Peromyscus californicus,California Deermouse,0.7,0.00431,0.0440,N,N,2.7,1.0,1.5,1.7,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,Y,N,N,LC,,Monogamous,,Monogamous,Peromyscus_californicus,0,0,0,No,Yes,No
Peromyscus leucopus,White-footed Deermouse,0.8,0.0018,0.0215,N,N,4.3,0.7,1.5,1.5,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,LC,,Solitary,,Solitary,Peromyscus_leucopus,0,0,0,Yes,No,No
Peromyscus maniculatus,North American Deermouse,0.8,0.00173,0.0225,N,N,4.8,0.7,1.6,1.6,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,LC,,Solitary,,Solitary,Peromyscus_maniculatus,0,0,0,No,No,Yes
Peromyscus polionotus,Oldfield Deermouse,0.8,0.00154,0.0205,N,N,3.6,0.8,1.0,1.0,,Y,N,,N,N,N,N,Y,N,N,N,Y,Y,N,N,LC,,Solitary,,Solitary,Peromyscus_polionotus,0,0,0,No,Yes,No
