SSB,Species,Gestation Period (m),Birth Mass (kg),Adult Female Mass (kg),Radically Dimorphic Morphology?,Typically single progeny?,Progeny Count,Weaned Age (m),Female Age of Maturity (m),Male age of Maturity (m),Males Noted to not Compete Immediately?,Nonseasonal Breeding?,Lifespan (these are weak af),Some Degree of Territoriality?,Group Living (Beyond families)?,Deep Paternal involvement?,Notable Alloparental Care Beyond Alerts?,Generally Female Exclusive Groups?,Multimale Coed Groups?,Bachelor Groups?,Herbivorous?,Carnivorous?,Piscivorous/Marine Inverts?,Insectivorous?,Frugivorous?,Granivorous?,Carrion Eater?,Minorly Opportunist Carnivore?,IUCN Designation
0,Callicebus moloch,5.5,0.0744,0.8600,N,Y,1.0,2.8,36.5,,,,25.3,,N,Y,N,N,N,N,,,,,,,,,LC
0,Callimico goeldii,5.1,0.0555,0.3550,N,Y,1.1,3.5,13.0,13.2,N,N,17.9,N,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,VU
1,Callithrix jacchus,4.8,0.02774,0.3220,N,N,2.3,2.0,14.5,11.5,Y,Y,16.3,N,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,LC
1,Callorhinus ursinus,8.5,5.3548,50.0000,Y,Y,1.0,3.6,48.7,48.0,Y,N,26.0,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,VU
1,Camelus dromedarius,12.8,37.3,500.0000,N,Y,1.0,16.5,41.7,43.0,Y,Y,34.2,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,
0,Canis latrans,2.1,0.257,11.1000,N,N,5.7,1.6,10.4,9.1,Y,N,21.8,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,Y,N,LC
0,Canis mesomelas,2.1,0.1772,8.0000,N,N,3.9,2.1,10.3,8.4,Y,N,14.0,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,LC
0,Canis simensis,2.1,,12.7000,N,N,4.0,2.3,24.8,24.8,Y,N,,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,EN
1,Capra aegagrus,5.1,2.9,40.0000,Y,N,1.6,,30.0,24.0,Y,N,11.0,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,NT
1,Capra ibex,5.7,2.78,45.0000,Y,Y,1.1,5.0,18.0,18.0,Y,N,18.0,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,LC
1,Capra pyrenaica,6.0,,36.0000,Y,N,1.5,,30.0,,Y,N,15maxwild,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,LC
1,Capreolus capreolus,5.0,1.6,23.0000,Y,N,1.8,2.8,13.8,13.8,Y,N,11.0,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,LC
0,Caracal caracal,2.4,0.225,11.0000,N,N,2.7,4.0,13.5,13.5,N,Y,18.0,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,LC
0,Carollia perspicillata,3.5,0.00489,0.0200,N,Y,1.0,1.2,8.6,8.6,N,N,17.0,Y,Y,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,LC
0,Castor canadensis,3.5,0.41517,17.5000,N,N,3.6,1.7,21.6,21.3,N,N,12.0,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC
0,Castor fiber,3.5,0.55027,17.5000,N,N,3.0,2.0,33.1,34.5,N,N,12.0,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,LC
1,Cavia aperea,2.0,0.06,0.6000,N,N,2.3,0.7,2.0,3.0,Y,Y,6.0,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,LC
0,Cebuella pygmaea,4.7,0.0145,0.1100,N,N,1.9,3.0,16.0,16.0,Y,Y,11.5,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,N,Y,VU
1,Cebus albifrons,5.7,0.23192,2.3000,N,Y,1.0,9.0,46.3,43.7,Y,Y,44max,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,LC
1,Cebus (Sapajus?) apella,5.2,0.21,2.3500,Y,Y,1.1,9.5,57.6,78.0,Y,N,45.1,N,Y,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,LC
1,Cebus capucinus,5.4,0.23836,2.2500,N,Y,1.0,17.1,50.2,97.4,,Y,40.0,,Y,,,,,,Y,N,Y,Y,Y,N,N,Y,VU
1,Cebus olivaceus,5.1,,2.6500,N,Y,1.0,18.0,76.0,88.0,Y,Y,41.0,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,LC
0,Cephalorhynchus hectori,10.6,,50.0000,N,Y,1.0,11.9,93.3,84.0,N,N,22max,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,EN
0,Ceratotherium simum,16.5,49.75,2300.0000,N,Y,1.0,19.0,67.5,54.8,Y,Y,45.0,Y,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,NT
1,Cercocebus torquatus,5.6,,6.3000,Y,Y,1.0,,38.2,,Y,,27max,N,Y,,,N,Y,N,Y,N,N,Y,Y,Y,N,Y,EN
0,Cercopithecus ascanius,5.5,0.371,2.9000,N,Y,1.0,5.5,48.0,72.0,N,Y,28.3,,Y,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,LC
0,Cercopithecus diana,5.5,0.4669,3.8530,N,Y,1.0,12.1,48.0,63.0,N,Y,35maxcap,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,EN
