SSB,Species,Gestation Period (m),Birth Mass (kg),Adult Female Mass (kg),Radically Dimorphic Morphology?,Typically single progeny?,Progeny Count,Weaned Age (m),Female Age of Maturity (m),Male age of Maturity (m),Males Noted to not Compete Immediately?,Nonseasonal Breeding?,Lifespan (these are weak af),Some Degree of Territoriality?,Group Living (Beyond families)?,Deep Paternal involvement?,Notable Alloparental Care Beyond Alerts?,Generally Female Exclusive Groups?,Multimale Coed Groups?,Bachelor Groups?,Herbivorous?,Carnivorous?,Piscivorous/Marine Inverts?,Insectivorous?,Frugivorous?,Granivorous?,Carrion Eater?,Minorly Opportunist Carnivore?,IUCN Designation
0,Hylobates moloch,7.6,0.3165,6.2000,N,Y,1.0,20.0,108.0,108.0,N,Y,50maxcap,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,N,N,Y,EN
0,Indri indri,4.7,0.3000,7.4000,N,Y,1.0,11.0,96.0,48.0,Y,N,,Y,N,Y,N,N,N,N,Y,N,N,N,Y,Y,N,N,CR
0,Isoodon macrourus,0.4,0.00017,0.7000,Y,N,3.3,2.0,3.5,6.0,N,Y,3.0,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,LC
0,Isoodon obesulus,0.5,0.00034,0.9000,N,N,2.8,2.0,4.5,6.0,N,Y,6.5,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,LC
1,Kobus ellipsiprymnus,8.3,13.5,170.0000,N,Y,1.0,7.1,30.0,48.0,Y,Y,13.0,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,LC
0,Kogia breviceps,11.2,53,511.0000,N,Y,1.0,9.0,60.0,45.0,N,N,17.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,LC
0,Lagenorhynchus albirostris,11.2,40.0000,255.0000,N,Y,1.0,18.3,104.4,139.2,N,N,37max,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC
0,Lagenorhynchus obscurus,13.0,9.6,78.5000,N,Y,1.0,12.2,60.9,60.9,N,N,35.0,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,LC
0,Lagothrix lagotricha,7.5,0.35,6.0000,N,Y,1.0,11.2,72.0,96.0,N,Y,30+,,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,VU
0,Lama guanicoe,11.7,13,115.0000,N,Y,1.0,7.0,24.0,24.0,Y,N,28max,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,LC
0,Lasionycteris noctivagans,1.8,0.00192,0.0096,N,N,1.8,1.2,5.1,5.1,N,N,12.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC
0,Lasiurus borealis,2.8,0.00429,0.0130,N,N,2.3,1.3,,,N,N,2.6,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC
0,Lasiurus cinereus,1.9,0.00512,0.0280,N,N,2.0,1.2,,,N,N,2.4,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC
0,Lemur catta,4.5,0.0758,2.2000,N,Y,1.2,3.0,18.0,18.0,Y,N,20.0,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,EN
1,Leontopithecus rosalia,4.3,0.05189,0.7950,N,N,1.9,3.5,23.0,25.5,N,N,28.2,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,Y,EN
0,Leopardus pardalis,2.7,0.25,9.0000,N,N,1.3,3.5,22.1,20.0,N,Y,20maxcap,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,LC
0,Leptonychotes weddellii,10.5,27.5,500.0000,N,Y,1.0,1.2,51.1,,Y,N,25.0,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC
0,Lepus americanus,1.2,0.06784,1.3500,N,N,3.5,0.8,8.6,,N,N,5.4,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC
0,Lepus capensis,1.4,0.11409,2.1000,N,N,1.5,0.9,6.7,,N,Y,8.9,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC
0,Lepus europaeus,1.4,0.123,4.2500,N,N,3.3,1.0,7.6,6.0,N,N,10.7,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC
0,Lepus timidus,1.7,0.11349,2.9000,N,N,3.2,0.8,8.9,,N,N,14.6,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,LC
0,Lontra canadensis,2.0,0.13594,7.8500,N,N,2.7,3.0,24.3,24.3,N,N,23.9,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,LC
1,Lophocebus albigena,6.2,0.49858,5.6000,N,Y,1.0,8.5,36.0,72.0,Y,Y,20cap,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,N,Y,VU
1,Loxodonta africana,22.0,105,2800.0000,Y,Y,1.0,36.3,141.8,150.0,Y,N,65.0,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,EN
0,Lutra lutra,2.0,0.13,7.5000,N,N,2.5,3.4,30.0,30.0,N,N,18.2,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,NT
0,Lycaon pictus,2.4,0.325,22.2500,N,N,10.5,2.0,23.5,21.3,Y,Y,15.1,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,EN
0,Lynx canadensis,2.1,0.204,8.6000,N,N,4.5,3.0,17.9,19.1,N,N,26.8,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,LC
0,Lynx lynx,2.3,0.289,22.0000,N,N,2.3,2.7,22.0,33.5,N,N,23.7,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,LC
0,Lynx pardinus,2.3,,10.0000,N,N,2.5,,,,N,N,11.3,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,VU
0,Lynx rufus,2.0,0.35,7.5000,N,N,2.8,2.3,21.3,24.0,N,Y,26.8,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,LC
1,Macaca arctoides,5.9,0.495,8.1430,N,Y,1.0,12.0,42.0,48.0,N,Y,30max,,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,Y,VU
1,Macaca fascicularis,5.5,0.33285,3.5880,N,Y,1.0,15.0,42.6,66.0,N,N,37.55maxcap,Y,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,N,Y,EN
1,Macaca fuscata,5.8,0.542,10.3480,N,Y,1.2,8.8,60.0,54.0,Y,N,33 max,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,LC
1,Macaca mulatta,5.5,0.4894,5.3390,N,Y,1.0,9.9,54.0,78.0,N,N,37maxcap,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,Y,LC
1,Macaca nemestrina,5.7,0.47725,6.5000,Y,Y,1.0,10.8,36.0,54.0,N,Y,37.6maxcap,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,N,N,EN
1,Macaca nigra,5.7,0.45777,6.7000,N,Y,1.0,12.2,56.9,,N,Y,33.9,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,CR
1,Macaca radiata,5.4,0.36752,3.8510,N,Y,1.0,10.0,36.0,36.0,Y,N,30.0,N,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,Y,VU
1,Macaca silenus,5.8,0.41611,3.5000,N,Y,1.0,9.0,50.8,96.0,N,Y,38max,N,Y,N,N,N,Y,N,Y,Y,N,Y,Y,Y,N,N,EN
1,Macaca sylvanus,5.5,0.44985,11.9000,N,Y,1.0,7.0,48.6,66.9,N,N,27.5cap,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,Y,EN
1,Macaca tonkeana,5.7,,9.5000,N,Y,1.0,,54.0,,N,N,28.4,N,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,VU
1,Notamacropus eugenii,0.9,0.00044,5.0000,N,Y,1.0,10.5,9.0,24.3,N,N,14.0,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,LC
1,Macropus fuliginosus,1.0,0.00086,28.0000,Y,Y,1.0,17.5,14.0,20.0,N,Y,21.6,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,LC
1,Macropus giganteus,1.2,0.00084,30.0000,Y,Y,1.0,17.0,18.0,42.0,N,Y,24.0,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,LC
1,Osphranter robustus,1.1,0.0007,8.6000,Y,Y,1.0,16.0,14.0,18.0,N,Y,22.0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC
1,Notamacropus rufogriseus,1.0,0.00053,13.5000,N,Y,1.0,15.5,13.0,19.0,N,Y,15.2,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC
1,Osphranter rufus,1.1,0.00081,28.0000,Y,Y,1.0,12.0,15.0,24.0,N,Y,25.0,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,LC
0,Marmota marmota,1.1,0.02974,3.7000,N,N,4.0,1.6,27.6,24.3,N,N,17.4,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,N,Y,LC
0,Marmota monax,1.0,0.02719,3.7000,N,N,4.3,1.5,18.1,18.3,N,N,11.3,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,LC
0,Martes americana,0.9,0.028,0.5650,Y,N,2.6,1.5,15.2,15.2,N,N,17.7,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,LC
0,Martes foina,1.0,0.03,1.7000,N,N,3.8,2.4,18.3,24.3,N,N,18.1,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,LC
1,Martes martes,1.0,0.03,1.1000,N,N,3.5,1.7,16.9,14.2,N,N,17.0,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,LC
0,Martes pennanti,1.0,0.05,2.2500,Y,N,3.0,2.6,13.8,12.2,N,N,10.1,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,LC
0,Mastomys natalensis,0.7,0.00198,0.0565,N,N,8.9,0.7,2.4,,N,N,2.7,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,LC
0,Megaptera novaeangliae,11.3,900,32500.0000,N,Y,1.0,8.0,54.8,54.8,Y,N,48maxwild,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,LC
0,Meles meles,1.7,0.075,12.0000,N,N,3.1,2.5,13.4,12.2,N,Y,16.2,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,Y,Y,LC
0,Mellivora capensis,2.0,0.21,9.9000,N,N,1.7,0.8,,,Y,Y,26.5,Y,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,LC
0,Mephitis mephitis,2.2,0.03319,2.1000,N,N,5.4,1.7,11.2,11.2,N,N,12.4,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,LC
0,Meriones unguiculatus,0.8,0.00285,0.0560,N,N,5.0,0.8,1.9,1.2,N,N,0.3,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,Y,N,N,LC
0,Mesoplodon densirostris,12.0,60.0000,800.0000,Y,Y,1.0,13.0,109.6,109.6,Y,,27.0,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,LC
0,Microcebus murinus,2.0,0.0059,0.0600,N,N,2.2,1.4,10.0,8.1,N,N,18maxcap,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,Y,LC
0,Micromys minutus,0.7,0.00084,0.0075,N,N,4.9,0.6,1.5,1.5,N,N,4.5,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,LC
0,Microtus agrestis,0.7,0.0022,0.0326,N,N,4.7,0.6,0.9,1.4,N,N,1.7,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,LC
0,Microtus arvalis,0.7,0.0021,0.0250,N,N,4.2,0.6,0.9,1.9,N,N,0.5,Y,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,Y,LC
0,Microtus californicus,0.7,0.0028,0.0434,N,N,4.4,0.6,0.8,1.4,N,Y,2.1,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,LC
0,Microtus montanus,0.7,0.00389,0.0470,N,N,5.5,0.5,0.8,,N,N,,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC
0,Microtus ochrogaster,0.7,0.00294,0.0420,N,N,3.9,0.7,1.6,,N,Y,5.3,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,LC
0,Microtus oeconomus,0.7,0.00234,0.0520,N,N,5.6,0.7,1.5,,N,N,1.8,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,Y,N,N,LC
0,Microtus pennsylvanicus,0.7,0.0024,0.0440,N,N,5.2,0.4,1.0,,N,Y,1.3,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,LC
0,Microtus townsendii,0.8,,0.0550,N,N,4.1,0.5,1.7,,N,N,,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC
1,Miniopterus schreibersii,3.8,0.00286,0.0120,N,Y,1.0,2.0,12.0,24.3,N,N,14.0,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,VU
1,Miopithecus talapoin,5.5,0.17904,0.7750,N,Y,1.0,5.8,53.9,96.0,N,Y,27.7,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,VU
1,Mirounga angustirostris,7.5,34.38177,450.0000,Y,Y,1.0,0.9,36.0,78.0,Y,N,18maxwild,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC
0,Mirounga leonina,8.1,39.39297,700.0000,Y,Y,1.0,0.7,36.0,60.0,Y,N,14max,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC
0,Monachus monachus,10.8,20,270.0000,Y,Y,1.0,3.9,36.0,,Y,Y,44max,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,VU
0,Mungos mungo,2.0,0.035,1.3600,N,N,3.2,0.8,11.5,,N,Y,10maxwild,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,LC
1,Muntiacus muntjak,7.0,1.37139,24.0000,Y,Y,1.1,2.1,9.1,11.1,N,Y,17.6 max,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,LC
1,Muntiacus reevesi,7.1,1.2,12.5000,Y,Y,1.0,4.0,6.5,,N,Y,13max,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,LC
1,Mus musculus,0.7,0.00106,0.0250,N,N,5.8,0.7,1.8,1.4,Y,Y,5.0,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,LC
0,Mus spretus,0.7,0.0013,0.0130,N,N,5.3,0.6,1.4,1.6,N,N,4.0,Y,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,LC
0,Mustela erminea,1.2,0.00345,0.2000,N,N,6.7,1.8,3.2,12.2,N,N,11.1,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,LC
0,Mustela lutreola,1.1,0.008,0.5425,N,N,4.5,2.2,10.8,10.8,N,N,10.0,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,CR
0,Mustela nigripes,1.4,0.00739,0.8090,N,N,3.4,2.0,12.2,12.2,N,N,12.0,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,EN
0,Mustela nivalis,1.2,0.0015,0.1250,N,N,5.1,1.7,3.0,4.0,N,Y,9.6,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,LC
0,Mustela putorius,1.4,0.0095,0.6575,N,N,7.9,1.0,10.3,10.7,N,N,11.1,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,LC
0,Myocastor coypus,4.4,0.22,6.3000,N,N,5.3,1.9,5.3,5.1,Y,Y,6.3,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,LC
0,Myodes glareolus,0.7,0.002,0.0365,N,N,5.2,0.6,1.7,2.0,N,N,1.6,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,LC
1,Myotis bechsteinii,2.0,0.00231,0.0110,N,Y,1.0,,,,N,N,21max,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,NT
1,Myotis daubentonii,1.8,0.002,0.0080,N,Y,1.2,1.2,12.0,24.3,N,N,28max,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC
1,Myotis lucifugus,1.9,0.00218,0.0090,N,Y,1.0,0.9,8.2,12.0,N,N,29.0,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,EN
1,Myotis myotis,2.4,0.006,0.0240,N,N,1.5,1.4,15.0,16.7,N,N,22.0,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC
1,Myotis mystacinus,,1.155,0.0055,N,Y,1.0,,12.2,15.2,N,N,"11.5, 23max",N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC
0,Myotis septentrionalis,1.8,0.00168,0.0080,N,Y,1.0,1.2,12.2,12.2,N,N,18.5max,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,NT
0,Myotis sodalis,,0.00453,0.0080,N,Y,1.0,1.0,11.9,,N,N,"13.8, 20max",N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,NT
1,Nanger granti,6.7,5.21517,52.5000,Y,Y,1.0,,14.5,18.0,Y,Y,19.7,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,LC
1,Nasalis larvatus,5.5,0.45,9.6370,Y,Y,1.0,7.1,50.0,60.0,N,Y,21.0,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,EN
0,Nasua narica,2.5,0.14,4.4000,N,N,4.0,4.0,22.0,34.0,N,N,17maxcap,N,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,Y,LC
0,Nasua nasua,2.5,0.14491,4.3000,N,N,3.7,3.4,26.2,24.3,N,N,20.7,N,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,Y,LC
0,Neofelis nebulosa,3.0,0.16649,16.0000,N,N,2.3,3.0,25.1,30.0,N,,19.5,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,VU
0,Neomys fodiens,0.7,0.00075,0.0168,N,N,6.0,1.2,5.3,3.5,N,N,1.6maxwild,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,LC
1,Neophoca cinerea,14.0,7.14762,77.1000,Y,Y,1.2,17.0,54.0,72.0,Y,Y,16.0,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,EN
0,Neophocaena phocaenoides,10.8,6.8,42.5000,N,Y,1.0,10.6,66.0,54.0,N,N,20.0,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,VU
0,Neovison vison,1.0,0.0086,0.6450,Y,N,4.8,1.4,12.0,18.0,N,N,10.7,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,LC
1,Nyctalus leisleri,,0.00294,0.0140,N,N,1.7,0.8,,,N,N,12.5,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,LC
1,Nyctalus noctula,2.1,0.00557,0.0300,N,N,1.7,0.8,13.8,13.5,N,N,12.0,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,LC
1,Nyctereutes procyonoides,2.1,0.11,7.7500,N,N,6.4,1.7,10.9,10.1,N,N,12.5,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,N,Y,N,LC
0,Nycticebus coucang,6.4,0.05047,0.7425,N,Y,1.1,6.0,20.6,,N,Y,20+cap,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,EN
1,Octodon degus,3.0,0.01419,0.2250,N,N,5.3,1.0,3.3,3.3,N,N,7.1,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,LC
1,Odobenus rosmarus,11.9,60.6,1000.0000,Y,Y,1.2,27.0,96.0,120.0,Y,N,40.0,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,VU
1,Odocoileus hemionus,6.8,3.35,50.0000,Y,N,1.6,3.5,18.0,18.0,Y,N,20max,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,LC
1,Odocoileus virginianus,6.6,2.85,55.0000,Y,N,1.6,4.0,16.0,18.0,Y,N,14max,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,Y,LC
0,Ondatra zibethicus,0.9,0.02199,1.2500,N,N,6.6,0.9,5.8,,N,Y,10.0,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,LC
1,Orcinus orca,16.0,170,2500.0000,Y,Y,1.0,14.5,150.0,180.0,Y,N,90max,N,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,DD
0,Oreamnos americanus,6.3,3.08081,67.5000,N,Y,1.4,3.1,30.4,30.4,Y,N,12.0,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,LC
0,Oreotragus oreotragus,7.2,1.13,13.2000,N,Y,1.0,4.6,12.2,12.2,N,Y,17.8,Y,N,Y,N,N,N,N,Y,N,N,N,Y,Y,N,N,LC
0,Ornithorhynchus anatinus,0.7,,1.1000,N,N,2.0,4.0,21.5,18.3,N,N,10.0,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,NT
0,Orycteropus afer,7.7,1.7,52.5000,N,Y,1.1,2.4,25.2,24.3,N,N,24.0,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC
1,Oryctolagus cuniculus,1.0,0.03911,2.2500,N,N,4.0,0.7,3.5,3.5,Y,Y,10.0,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,EN
0,Oryx gazella,8.5,8,200.0000,N,Y,1.0,5.0,23.0,18.3,Y,Y,20.8,Y,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,LC
0,Oryx leucoryx,8.0,8,62.0000,N,Y,1.0,4.5,24.4,18.3,Y,Y,20cap,Y,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,VU
0,Otaria flavescens/byronia,10.4,12.81999,144.0000,Y,Y,1.0,9.0,48.7,66.0,Y,N,20.0,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,LC
0,Otocyon megalotis,2.3,0.1207,4.3000,N,N,3.0,1.4,8.5,8.5,N,N,13.8,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,Y,LC
1,Ovibos moschatus,8.0,10.7,290.0000,N,Y,1.0,7.8,36.0,36.0,Y,N,20.0,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,LC
1,Ovis ammon,5.4,4,90.0000,N,Y,1.0,3.5,30.0,27.4,Y,N,15.9,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,NT
1,Ovis canadensis,5.9,3.6,59.0000,Y,Y,1.2,4.8,25.0,18.0,Y,N,15.0,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,LC
1,Ovis dalli,5.7,3.65,56.8000,N,Y,1.2,4.1,18.0,23.1,Y,N,20.0,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,LC
1,Ovis gmelini,5.2,3,40.0000,Y,Y,1.2,6.1,18.3,29.0,Y,N,17.0,N,Y,N,N,,,,Y,N,N,N,N,N,N,N,NT
1,Pan paniscus,7.7,1.39953,31.0000,N,Y,1.0,36.0,144.0,120.0,N,Y,48.0,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,Y,EN
1,Pan troglodytes,7.7,1.74502,35.0000,Y,Y,1.1,54.0,90.0,90.0,Y,Y,50max,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,EN
1,Panthera leo,3.6,1.5,126.0000,Y,N,2.8,6.9,36.5,26.0,Y,Y,27.0,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,VU
0,Panthera onca,3.3,0.8173,65.0000,N,N,2.0,5.5,27.0,30.0,N,Y,23.0,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,NT
0,Panthera pardus,3.2,0.55339,53.0000,N,N,2.1,3.9,31.2,25.7,N,Y,23.0,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,VU
0,Panthera tigris,3.4,1.2,117.5000,N,N,2.9,6.0,42.3,47.2,N,Y,26.3,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,EN
0,Panthera uncia,3.3,0.4426,34.0000,N,N,2.2,2.3,26.2,24.3,N,N,21.0,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,VU
1,Papio cynocephalus,6.0,0.76,10.5000,Y,Y,1.0,13.0,60.0,96.0,N,Y,14.5,N,Y,N,N,N,Y,N,Y,Y,N,Y,Y,Y,N,N,LC
1,Papio hamadryas,5.8,0.86,12.5000,Y,Y,1.0,10.0,52.8,72.0,N,Y,30.0,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,Y,N,N,LC
1,Papio ursinus,6.2,0.7,16.0000,Y,Y,1.0,20.0,75.0,58.7,N,Y,37.5,N,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,LC
1,Pecari tajacu,4.8,0.61853,22.0000,N,N,1.6,1.4,10.8,11.9,Y,Y,24.7,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,LC
0,Peromyscus californicus,0.7,0.00431,0.0440,N,N,2.7,1.0,1.5,,N,Y,5.5,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,Y,N,N,LC
0,Peromyscus leucopus,0.8,0.0018,0.0215,N,N,4.3,0.7,2.4,,N,Y,7.9,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,LC
0,Peromyscus maniculatus,0.8,0.00173,0.0225,N,N,4.8,0.7,1.6,,N,Y,8.0,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,LC
0,Peromyscus polionotus,0.8,0.00154,0.0205,N,N,3.6,0.8,1.0,,N,,5.5,Y,N,,N,N,N,N,Y,N,N,N,Y,Y,N,N,LC
0,Petaurus breviceps,0.6,0.00018,0.0975,N,N,1.8,4.0,9.3,15.2,N,Y,14.0,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,LC
1,Phacochoerus aethiopicus,5.5,0.69195,55.0000,Y,N,3.2,3.5,19.9,,,,18.8,,,,,,,,Y,N,N,N,Y,Y,Y,Y,LC
0,Phacochoerus africanus,5.5,0.6600,62.5000,Y,N,2.5,2.8,18.0,18.0,Y,Y,20.8,N,Y,N,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,LC
0,Pagophilus groenlandicus,8.1,4,127.0000,N,Y,1.0,0.4,66.0,90.0,N,N,30.0,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC
1,Phoca vitulina,8.5,10.5,100.0000,N,Y,1.0,0.8,54.0,72.0,N,N,35.0,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC
1,Phocarctos hookeri,8.5,7.0000,127.5000,Y,Y,1.0,11.0,42.0,,Y,N,26.0,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,EN
1,Phocoena phocoena,10.5,7.5,60.0000,N,Y,1.0,10.4,39.2,44.7,N,N,20.0,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,LC
0,Phocoenoides dalli,11.3,,105.0000,Y,Y,1.0,10.1,66.6,69.0,Y,N,22max,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,LC
0,Phodopus sungorus,0.6,0.00204,0.0235,N,N,5.7,0.7,4.0,,N,N,3.2,Y,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,LC
