Species,Female_Homosexuality,Male_Homosexuality,Typically single progeny?,Progeny Count
Ornithorhynchus anatinus,0,0,N,2.0
Orycteropus afer,0,0,Y,1.1
Oryctolagus cuniculus,1,1,N,5.2
Oryx gazella,0,0,Y,1.0
Oryx leucoryx,0,0,Y,1.0
Otaria flavescens,0,0,Y,1.0
Otocyon megalotis,0,0,N,4.0
Ovibos moschatus,1,1,Y,1.0
Ovis ammon,0,1,Y,1.0
Ovis canadensis,1,1,Y,1.2
Ovis dalli,1,1,Y,1.2
Ovis orientalis (gmelini),1,1,Y,1.2
Pan paniscus,1,1,Y,1.0
Pan troglodytes,1,1,Y,1.1
Panthera leo,1,1,N,2.8
Panthera onca,0,0,N,2.0
Panthera pardus,0,0,N,2.1
Panthera tigris,0,0,N,2.6
Panthera uncia,0,0,N,2.1
Papio cynocephalus,1,1,Y,1.0
Papio hamadryas,1,1,Y,1.0
Papio ursinus,1,1,Y,1.0
Pecari tajacu,1,1,N,1.6
Peromyscus californicus,0,0,N,1.9
Peromyscus leucopus,0,0,N,4.3
Peromyscus maniculatus,0,0,N,4.8
Peromyscus polionotus,0,0,N,3.6
Petaurus breviceps,0,0,N,1.8
Phacochoerus aethiopicus,1,1,N,3.2
Phacochoerus africanus,0,0,N,3.0
Phoca groenlandica,0,0,Y,1.0
Phoca vitulina,1,1,Y,1.0
Phocarctos hookeri,1,1,Y,1.0
Phocoena phocoena,1,1,Y,1.0
Phocoenoides dalli,0,0,Y,1.0
Phodopus sungorus,0,0,N,5.5
Phyllostomus hastatus,0,0,Y,1.0
Physeter macrocephalus,0,1,Y,1.0
Pipistrellus kuhlii,0,0,N,1.7
Pipistrellus nathusii,0,0,N,1.7
Pipistrellus pipistrellus,0,1,N,1.4
Pipistrellus pygmaeus,0,0,N,"1,7"
Plecotus auritus,0,1,N,1.2
Pongo abelii,1,1,Y,1.1
Pongo pygmaeus,1,1,Y,1.1
Potamochoerus porcus,0,0,N,3.0
Prionailurus bengalensis,0,0,N,2.5
Procavia capensis,0,0,N,2.5
Procolobus badius,0,0,Y,1.0
Procyon lotor,1,1,N,3.1
Propithecus diadema,0,0,Y,1.0
Propithecus verreauxi,1,1,Y,1.0
Psammomys obesus,0,0,N,3.5
Pseudocheirus peregrinus,0,0,N,1.9
Pseudorca crassidens,0,0,Y,1.0
Pteronura brasiliensis,0,0,N,2.1
Pteropus poliocephalus,1,1,Y,1.0
Puma concolor,1,0,N,2.8
Rangifer tarandus,1,1,N,1.5
Raphicerus campestris,0,0,Y,1.0
Rattus exulans,0,0,N,3.7
Rattus fuscipes,0,0,N,4.6
Rattus norvegicus,1,1,N,9.0
Rattus rattus,0,0,N,5.9
Rhabdomys pumilio,0,0,N,5.6
Rhinolophus ferrumequinum,0,1,Y,1.0
Rhinopithecus roxellana,1,1,Y,1.0
Rousettus aegyptiacus,0,0,Y,1.1
Rupicapra pyrenaica,0,1,Y,1.0
Rupicapra rupicapra,0,0,Y,1.0
Saguinus mystax,1,1,N,1.9
Saguinus oedipus,1,1,N,1.9
Saiga tatarica,0,0,N,1.5
Saimiri sciureus,1,1,Y,1.0
Sarcophilus harrisii,0,0,N,2.9 (/40-50 lol)
Sciurus carolinensis,1,1,N,3.0
Sciurus niger,0,0,N,3.0
Sciurus vulgaris,0,0,N,4.5
Semnopithecus entellus,1,1,Y,1.0
Setonix brachyurus,0,0,Y,1.0
Sigmodon hispidus,0,0,N,5.4
Sorex araneus,0,0,N,6.6
Sorex minutus,0,0,N,6.0
Sotalia fluviatilis,0,0,Y,1.0
Sousa chinensis,0,0,Y,1.0
Spalax ehrenbergi,0,0,N,3.2
Spermophilus beecheyi,0,0,N,6.7
Spermophilus beldingi,0,0,N,5.7
Spermophilus columbianus,0,0,N,3.5
Spermophilus richardsonii,0,0,N,7.4
Stenella attenuata,0,0,Y,1.0
Stenella coeruleoalba,1,1,N,1.8
Stenella frontalis,0,0,Y,1.0
Stenella longirostris,1,1,Y,1.0
Suricata suricatta,0,0,N,3.9
Sus scrofa,0,0,N,5.0
Sylvicapra grimmia,0,0,Y,1.0
Sylvilagus floridanus,0,1,N,4.8
Symphalangus syndactylus,0,1,Y,1.0
Syncerus caffer,1,1,Y,1.1
Tachyglossus aculeatus,0,0,Y,1.0
Tadarida brasiliensis,0,0,Y,1.5
Talpa europaea,0,0,N,3.9
Tamias striatus,0,0,N,4.2
Tamiasciurus hudsonicus,1,1,N,3.9
Tapirus terrestris,0,0,Y,1.0
Taxidea taxus,0,0,Y,2.8
Tayassu pecari,1,1,N,2.0
Theropithecus gelada,1,1,Y,1.0
Trachypithecus obscurus,0,0,Y,1.0
Tragelaphus scriptus,0,0,Y,1.0
Tragelaphus strepsiceros,0,0,Y,1.0
Trichechus manatus,0,1,Y,1.2
Trichosurus vulpecula,0,1,Y,1.0
Tursiops aduncus,1,1,Y,1.0
Tursiops truncatus,1,1,Y,1.0
Urocyon cinereoargenteus,0,0,N,3.7
Ursus americanus,1,1,N,2.4
Ursus arctos,1,1,N,2.2
Ursus maritimus,0,0,N,1.7
Ursus thibetanus,0,0,N,1.5
Varecia variegata,1,1,N,2.2
Vombatus ursinus,0,0,Y,1.0
Vulpes velox,0,0,N,4.3
Wallabia bicolor,0,1,Y,1.0
Zalophus californianus,0,1,Y,1.0
Ziphius cavirostris,0,0,Y,1.0
