Species,FSSB,MSSB,SSB
Crocidura_fulvastra,0,0,0
Crocidura_fumosa,0,0,0
Crocidura_fuscomurina,0,0,0
Crocidura_hildegardeae,0,0,0
Crocidura_hirta,0,0,0
Crocidura_leucodon,0,0,0
Crocidura_nigeriae,0,0,0
Crocidura_olivieri,0,0,0
Crocidura_russula,0,0,0
Crocidura_suaveolens,0,0,0
Crocidura_virgata,0,0,0
Crocuta_crocuta,1,0,1
Crossarchus_alexandri,0,0,0
Crossarchus_obscurus,0,0,0
Crossarchus_platycephalus,0,0,0
Cryptomys_damarensis,0,0,0
Cryptomys_hottentotus,0,1,1
Cryptoprocta_ferox,0,0,0
Cryptotis_goldmani,0,0,0
Cryptotis_meridensis,0,0,0
Cryptotis_parva,0,0,0
Ctenomys_azarae,0,0,0
Ctenomys_haigi,0,0,0
Ctenomys_mendocinus,0,0,0
Ctenomys_opimus,0,0,0
Ctenomys_peruanus,0,0,0
Ctenomys_sociabilis,0,0,0
Ctenomys_talarum,0,0,0
Cuniculus_paca,0,0,0
Cuon_alpinus,0,1,1
Cyclopes_didactylus,0,0,0
Cynictis_penicillata,0,0,0
Cynocephalus_volans,0,0,0
Cynomys_gunnisoni,0,0,0
Cynomys_leucurus,0,0,0
Cynomys_ludovicianus,0,0,0
Cynomys_mexicanus,0,0,0
Cynomys_parvidens,0,0,0
Cynopterus_brachyotis,0,0,0
Cynopterus_sphinx,0,0,0
Cystophora_cristata,0,0,0
Dactylopsila_trivirgata,0,0,0
Dama_dama,1,0,1
Dama_mesopotamica,0,0,0
Damaliscus_korrigum,0,0,0
Damaliscus_lunatus,0,0,0
Damaliscus_pygargus,0,0,0
Dasymys_incomtus,0,0,0
Dasymys_rufulus,0,0,0
Dasyprocta_azarae,0,0,0
Dasyprocta_fuliginosa,0,0,0
Dasyprocta_leporina,0,0,0
Dasyprocta_mexicana,0,0,0
Dasyprocta_punctata,0,0,0
Dasypus_novemcinctus,0,0,0
Dasypus_sabanicola,0,0,0
Dasyurus_geoffroii,0,0,0
Dasyurus_hallucatus,1,1,1
Dasyurus_maculatus,0,0,0
Dasyurus_viverrinus,0,0,0
Daubentonia_madagascariensis,0,0,0
Delanymys_brooksi,0,0,0
Delphinapterus_leucas,0,1,1
Delphinus_capensis,0,0,0
Delphinus_delphis,0,0,0
Dendrohyrax_arboreus,0,0,0
Dendrohyrax_dorsalis,0,0,0
Dendrolagus_bennettianus,0,0,0
Dendrolagus_dorianus,1,0,1
Dendrolagus_inustus,0,0,0
Dendrolagus_lumholtzi,0,0,0
Dendrolagus_matschiei,1,0,1
Dendromus_insignis,0,0,0
Dendromus_melanotis,0,0,0
Dendromus_mesomelas,0,0,0
Dendromus_mystacalis,0,0,0
Desmodillus_auricularis,0,0,0
Desmodus_rotundus,1,1,1
Dicerorhinus_sumatrensis,0,0,0
Diceros_bicornis,0,0,0
Dicrostonyx_groenlandicus,0,1,1
Didelphis_albiventris,0,0,0
Didelphis_aurita,0,0,0
Didelphis_marsupialis,0,0,0
Didelphis_pernigra,0,0,0
Didelphis_virginiana,0,0,0
Dipodomys_agilis,0,0,0
Dipodomys_deserti,0,0,0
Dipodomys_elator,0,0,0
Dipodomys_heermanni,0,0,0
Dipodomys_ingens,0,0,0
Dipodomys_merriami,0,0,0
Dipodomys_microps,0,0,0
Dipodomys_nelsoni,0,0,0
Dipodomys_ordii,0,0,1
