Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
29	-3277.94	-3286.809	8.86893	0.4427698	0.001066651	0.0253166	6.09888e-05	0.860223	0.00207231	0.0571779	1.94282	2.613627	0.171553	5.82911	0.44277	0.00106665	0.01721367	0.0172137	0.0172137	0.5862295	0.006855124	0.131555	0.00153835	1.0409	0.0121719	0.224409	1.77559	1.533322	0.355507	2.81288	0.586229	0.00685512	0.00278896	0.00191463
30	-3283.248	-3287.09	3.842873	0.4645327	0.05600373	0.0239742	0.00289031	0.905091	0.109117	0.0516093	1.94839	2.691707	0.162752	6.14432	0.464533	0.0560037	0.01713187	0.0171319	0.0171319	0.5388822	0.0101736	0.12093	0.00228304	0.956835	0.0180642	0.224409	1.77559	1.533322	0.355507	2.81288	0.538882	0.0101736	0.00247852	0.0042381
31	-3274.496	-3286.721	12.22492	0.4035096	0.0003460492	0.0433418	3.71699e-05	0.763677	0.000654928	0.107412	1.89259	2.126813	0.238231	4.1976	0.40351	0.000346049	0.01358144	0.0135814	0.0135814	0.5031986	0.0101736	0.124408	0.00251526	0.881989	0.0178319	0.247234	1.75277	1.451923	0.375571	2.66261	0.503199	0.0101736	0.00201245	0.00156933
32	-3283.18	-3285.324	2.143836	0.407152	0.3789326	0.0429404	0.0399642	0.771364	0.717901	0.105465	1.89453	2.141134	0.235941	4.23835	0.407152	0.378933	0.01495691	0.0149569	0.0149569	0.5031986	0.004944941	0.124408	0.00122256	0.881989	0.00866732	0.247234	1.75277	1.451923	0.375571	2.66261	0.503199	0.00494494	0.00524732	0.00965257
33	-3281.839	-3286.264	4.424687	0.407152	0.3789326	0.0429404	0.0399642	0.771364	0.717901	0.105465	1.89453	2.141134	0.235941	4.23835	0.407152	0.378933	0.01075843	0.0107584	0.0107584	0.5231713	0.02494247	0.129346	0.00616663	0.916997	0.0437183	0.247234	1.75277	1.451923	0.375571	2.66261	0.523171	0.0249425	0.00524732	0.000594025
34	-3278.585	-3287.839	9.25362	0.4324593	0.2524532	0.0456095	0.0266251	0.819309	0.478281	0.105465	1.89453	2.141134	0.235941	4.23835	0.432459	0.252453	0.008619902	0.0086199	0.0086199	0.575277	0.0003614714	0.142228	8.93681e-05	1.00833	0.000633575	0.247234	1.75277	1.451923	0.375571	2.66261	0.575277	0.000361471	0.00590569	0.000916453
35	-3273.941	-3289.63	15.68885	0.4324593	0.0003883395	0.0456095	4.09563e-05	0.819309	0.000735723	0.105465	1.89453	2.141134	0.235941	4.23835	0.432459	0.00038834	0.006473506	0.00647351	0.00647351	0.575277	0.0003614714	0.119822	7.52896e-05	1.03073	0.000647653	0.208286	1.79171	1.59529	0.340954	2.93294	0.575277	0.000361471	0.00372579	0.00456207
36	-3275.321	-3291.215	15.89421	0.379702	0.0003883395	0.0163747	1.67472e-05	0.743029	0.000759932	0.0431253	1.95687	2.82806	0.148451	6.73621	0.379702	0.00038834	0.006631742	0.00663174	0.00663174	0.575277	0.0002593317	0.119822	5.40153e-05	1.03073	0.000464648	0.208286	1.79171	1.59529	0.340954	2.93294	0.575277	0.000259332	0.00372579	0.00133155
37	-3274.586	-3288.21	13.62473	0.3692105	0.001154674	0.0159223	4.97956e-05	0.722499	0.00225955	0.0431253	1.95687	2.82806	0.148451	6.73621	0.36921	0.00115467	0.00996012	0.00996012	0.00996012	0.5337518	0.0002593317	0.118913	5.77756e-05	0.948591	0.000460888	0.222787	1.77721	1.539377	0.354058	2.82439	0.533752	0.000259332	0.00503611	0.00133155
38	-3288.786	-3292.607	3.820681	0.3499567	0.000154622	0.0296709	1.31096e-05	0.670243	0.000296134	0.0847846	1.91522	2.310985	0.210402	4.75281	0.349957	0.000154622	0.02444614	0.0244461	0.0244461	0.5218517	0.2088561	0.116262	0.0465303	0.927442	0.371182	0.222787	1.77721	1.539377	0.354058	2.82439	0.521852	0.208856	0.00392964	0.00841909
