Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
24	-2217.667	-2218.986	1.318714	0.0008256116	0.001086531	0.000490487	0.000645497	0.00116074	0.00152757	0.59409	1.40591	0.6385644	0.650051	1.53834	0.000825612	0.00108653	0.0507326	0.0507326	0.0507326	0.07023464	0.002089483	0.00262418	7.80693e-05	0.137845	0.0041009	0.037363	1.96264	2.936563	0.137975	7.24768	0.0702346	0.00208948	0.0207026	0.00103735
25	-2216.135	-2226.524	10.38901	0.0001117995	0.005266665	9.1544e-05	0.00431247	0.000132055	0.00622086	0.818823	1.18118	0.2716121	0.832602	1.20105	0.0001118	0.00526667	0.03640564	0.0364056	0.0364056	0.0751263	0.0009659662	0.016577	0.000213146	0.133676	0.00171879	0.220655	1.77934	1.547391	0.35215	2.8397	0.0751263	0.000965966	0.0207026	0.00103735
26	-2220.826	-2218.871	-1.955003	0.0001117995	0.005266665	4.57452e-05	0.00215497	0.000177854	0.00837836	0.409171	1.59083	1.006595	0.507155	1.97178	0.0001118	0.00526667	0.04978743	0.0497874	0.0497874	0.06747578	0.0004528835	0.000677135	4.54479e-06	0.134274	0.000901222	0.0100352	1.98996	3.921313	0.0710135	14.0818	0.0674758	0.000452884	0.0207026	0.0105428
27	-2223.096	-2214.363	-8.733239	0.001109735	0.01412337	0.000149327	0.00190046	0.00207014	0.0263463	0.134561	1.86544	1.949054	0.268577	3.72332	0.00110973	0.0141234	0.06670195	0.0667019	0.0667019	0.08069821	0.0004528835	0.00486858	2.73228e-05	0.156528	0.000878444	0.0603307	1.93967	2.572635	0.176362	5.67015	0.0806982	0.000452884	0.0221149	0.00380736
28	-2213.42	-2221.778	8.357287	0.0003190863	0.0005783036	0.000318562	0.000577354	0.00031961	0.000579253	0.998358	1.00164	0.00243501	0.998359	1.00164	0.000319086	0.000578304	0.05148297	0.051483	0.051483	0.06489423	0.0004528835	0.00391511	2.73228e-05	0.125873	0.000878444	0.0603307	1.93967	2.572635	0.176362	5.67015	0.0648942	0.000452884	0.0134332	0.0013501
29	-2213.594	-2226.182	12.58834	0.0003190863	0.0001967677	0.000299525	0.000184705	0.000338647	0.00020883	0.938696	1.0613	0.09100334	0.940465	1.0633	0.000319086	0.000196768	0.05148297	0.051483	0.051483	0.06489423	0.0002163411	0.00695279	2.31789e-05	0.122836	0.000409503	0.10714	1.89286	2.128797	0.237913	4.20322	0.0648942	0.000216341	0.00820193	0.0013501
30	-2223.667	-2222.853	-0.8143685	0.01956867	0.0001223017	0.0185501	0.000115936	0.0205872	0.000128668	0.94795	1.05205	0.07723948	0.949237	1.05348	0.0195687	0.000122302	0.06083246	0.0608325	0.0608325	0.07761864	0.0002307972	0.000218999	6.51189e-07	0.155018	0.000460943	0.00282148	1.99718	4.864589	0.0375863	26.6054	0.0776186	0.000230797	0.01083	0.00349378
31	-2223.673	-2223.603	-0.07017176	0.01956867	0.0001223017	0.0173741	0.000108586	0.0217633	0.000136018	0.887851	1.11215	0.1669741	0.893488	1.11921	0.0195687	0.000122302	0.04878058	0.0487806	0.0487806	0.07761864	0.007021606	0.00256185	0.000231753	0.152675	0.0138115	0.0330056	1.96699	3.03013	0.129537	7.71982	0.0776186	0.00702161	0.0225313	0.000406321
32	-2227.144	-2219.88	-7.263688	0.007914291	0.000359776	6.23602e-05	2.83483e-06	0.0157662	0.000716717	0.00787944	1.99212	4.101395	0.0628912	15.9005	0.00791429	0.000359776	0.05588708	0.0558871	0.0558871	0.0861786	0.0004304603	0.00597532	2.98466e-05	0.166382	0.000831074	0.0693364	1.93066	2.466048	0.189508	5.27682	0.0861786	0.00043046	0.0154846	0.0118226
33	-2227.584	-2225.113	-2.471333	0.01166581	0.00589461	9.192e-05	4.64462e-05	0.0232397	0.0117428	0.00787944	1.99212	4.101395	0.0628912	15.9005	0.0116658	0.00589461	0.04843887	0.0484389	0.0484389	0.09147929	0.0004304603	0.018798	8.84547e-05	0.164161	0.000772466	0.205489	1.79451	1.606472	0.338393	2.95515	0.0914793	0.00043046	0.015634	0.000117874
34	-2224.668	-2222.465	-2.202517	0.01300007	0.00589461	0.00548898	0.00248886	0.0205112	0.00930036	0.422227	1.57777	0.9772035	0.51731	1.93308	0.0130001	0.00589461	0.06095432	0.0609543	0.0609543	0.09147929	0.0002441674	0.018798	5.01736e-05	0.164161	0.000438161	0.205489	1.79451	1.606472	0.338393	2.95515	0.0914793	0.000244167	0.0150499	0.00411253
35	-2226.865	-2221.842	-5.023356	0.01300007	0.00589461	0.00548898	0.00248886	0.0205112	0.00930036	0.422227	1.57777	0.9772035	0.51731	1.93308	0.0130001	0.00589461	0.06113835	0.0611383	0.0611383	0.09147929	0.009240764	0.0195662	0.00197648	0.163392	0.0165051	0.213887	1.78611	1.573301	0.346049	2.88977	0.0914793	0.00924076	0.0156097	0.0011823
