Taxon,SSB
Suncus_stoliczkanus,?
Suncus_varilla,0
Suncus_zeylanicus,?
Surdisorex_norae,?
Surdisorex_polulus,0
Surdisorex_schlitteri,?
Sylvisorex_akaibei,?
Sylvisorex_camerunensis,0
Sylvisorex_granti,0
Sylvisorex_howelli,?
Sylvisorex_isabellae,?
Sylvisorex_johnstoni,?
Sylvisorex_konganensis,?
Sylvisorex_lunaris,0
Sylvisorex_morio,?
Sylvisorex_ollula,?
Sylvisorex_oriundus,?
Sylvisorex_pluvialis,?
Sylvisorex_silvanorum,?
Sylvisorex_vulcanorum,?
Condylura_cristata,0
Desmana_moschata,?
Dymecodon_pilirostris,0
Euroscaptor_grandis,?
Euroscaptor_klossi,?
Euroscaptor_longirostris,?
Euroscaptor_micrura,?
Euroscaptor_mizura,?
Euroscaptor_parvidens,?
Euroscaptor_subanura,?
Galemys_pyrenaicus,0
Mogera_etigo,?
Mogera_imaizumii,?
Mogera_insularis,0
Mogera_robusta,?
Mogera_tokudae,?
Mogera_uchidai,?
Mogera_wogura,0
Neurotrichus_gibbsii,0
Parascalops_breweri,0
Parascaptor_leucura,?
Scalopus_aquaticus,0
Scapanulus_oweni,?
Scapanus_latimanus,0
Scapanus_orarius,0
Scapanus_townsendii,?
Scaptochirus_moschatus,?
Scaptonyx_fusicaudus,?
Talpa_altaica,?
Talpa_caeca,0
Talpa_caucasica,?
Talpa_davidiana,?
Talpa_europaea,0
Talpa_levantis,?
Talpa_occidentalis,0
Talpa_romana,0
Talpa_stankovici,0
Uropsilus_andersoni,?
Uropsilus_gracilis,?
Uropsilus_investigator,?
Uropsilus_soricipes,?
Urotrichus_talpoides,0
