Taxon,SSB
Cynomops_mexicanus,?
Cynomops_milleri,?
Cynomops_paranus,?
Cynomops_planirostris,?
Eumops_auripendulus,?
Eumops_bonariensis,0
Eumops_dabbenei,?
Eumops_floridanus,?
Eumops_glaucinus,?
Eumops_hansae,?
Eumops_maurus,?
Eumops_patagonicus,?
Eumops_perotis,0
Eumops_trumbulli,?
Eumops_underwoodi,?
Eumops_wilsoni,?
Molossops_aequatorianus,?
Molossops_mattogrossensis,?
Molossops_neglectus,?
Molossops_temminckii,?
Molossus_alvarezi,?
Molossus_aztecus,?
Molossus_coibensis,?
Molossus_currentium,?
Molossus_molossus,0
Molossus_pretiosus,?
Molossus_rufus,0
Molossus_sinaloae,?
Mops_brachypterus,?
Mops_condylurus,?
Mops_congicus,?
Mops_demonstrator,?
Mops_leucostigma,?
Mops_midas,0
Mops_mops,?
Mops_nanulus,?
Mops_niangarae,?
Mops_niveiventer,?
Mops_petersoni,?
Mops_sarasinorum,?
Mops_spurrelli,?
Mops_thersites,?
Mops_trevori,?
Mormopterus_acetabulosus,0
Mormopterus_beccarii,?
Mormopterus_doriae,?
Mormopterus_jugularis,?
Mormopterus_kalinowskii,?
Mormopterus_loriae,?
Mormopterus_minutus,?
Mormopterus_norfolkensis,?
Mormopterus_phrudus,?
Mormopterus_planiceps,?
Myopterus_daubentonii,?
Myopterus_whitleyi,?
Nyctinomops_aurispinosus,?
Nyctinomops_femorosaccus,0
Nyctinomops_laticaudatus,?
Nyctinomops_macrotis,0
Otomops_formosus,?
Otomops_johnstonei,?
Otomops_madagascariensis,?
Otomops_martiensseni,?
Otomops_papuensis,?
Otomops_secundus,?
Otomops_wroughtoni,?
Platymops_setiger,?
Promops_centralis,?
Promops_davisoni,?
Promops_nasutus,?
Sauromys_petrophilus,?
Tadarida_aegyptiaca,?
Tadarida_brasiliensis,0
Tadarida_fulminans,?
Tadarida_insignis,?
Tadarida_latouchei,?
Tadarida_lobata,?
Tadarida_teniotis,0
Tadarida_ventralis,?
Tomopeas_ravus,?
Chilonatalus_micropus,?
Chilonatalus_tumidifrons,?
Natalus_espiritosantensis,?
Natalus_jamaicensis,?
Natalus_major,?
Natalus_mexicanus,?
Natalus_primus,?
Natalus_stramineus,?
Natalus_tumidirostris,?
Nyctiellus_lepidus,?
Antrozous_pallidus,0
Arielulus_aureocollaris,?
Arielulus_circumdatus,?
Arielulus_cuprosus,?
Arielulus_societatis,?
Arielulus_torquatus,?
Barbastella_barbastellus,1
Barbastella_leucomelas,?
Bauerus_dubiaquercus,?
Chalinolobus_dwyeri,?
Chalinolobus_gouldii,0
Chalinolobus_morio,?
Chalinolobus_neocaledonicus,?
Chalinolobus_nigrogriseus,?
Chalinolobus_picatus,?
Chalinolobus_tuberculatus,?
Corynorhinus_mexicanus,?
Corynorhinus_rafinesquii,1
Corynorhinus_townsendii,0
Eptesicus_andinus,?
Eptesicus_bobrinskoi,?
Eptesicus_bottae,?
Eptesicus_brasiliensis,?
Eptesicus_chiriquinus,?
Eptesicus_diminutus,?
Eptesicus_dimissus,?
Eptesicus_floweri,?
Eptesicus_furinalis,?
Eptesicus_fuscus,0
Eptesicus_gobiensis,?
Eptesicus_guadeloupensis,?
Eptesicus_hottentotus,?
Eptesicus_innoxius,?
Eptesicus_isabellinus,?
Eptesicus_japonensis,?
Eptesicus_nasutus,?
Eptesicus_nilssonii,0
Eptesicus_pachyotis,?
Eptesicus_platyops,?
Eptesicus_serotinus,1
Eptesicus_tatei,?
Euderma_maculatum,?
Eudiscopus_denticulus,?
Falsistrellus_affinis,?
Falsistrellus_mackenziei,?
Falsistrellus_mordax,?
Falsistrellus_petersi,?
Falsistrellus_tasmaniensis,?
Glauconycteris_alboguttata,?
Glauconycteris_argentata,?
Glauconycteris_beatrix,?
Glauconycteris_curryae,?
Glauconycteris_egeria,?
Glauconycteris_gleni,?
Glauconycteris_humeralis,?
Glauconycteris_kenyacola,?
Glauconycteris_machadoi,?
Glauconycteris_poensis,?
Glauconycteris_superba,?
Glauconycteris_variegata,?
Glischropus_javanus,?
Glischropus_tylopus,?
Harpiocephalus_harpia,?
Harpiola_grisea,?
Harpiola_isodon,?
Hesperoptenus_blanfordi,?
Hesperoptenus_doriae,?
Hesperoptenus_gaskelli,?
Hesperoptenus_tickelli,?
Hesperoptenus_tomesi,?
Histiotus_alienus,?
Histiotus_humboldti,?
Histiotus_laephotis,?
Histiotus_macrotus,?
Histiotus_magellanicus,?
Histiotus_montanus,?
Histiotus_velatus,?
Hypsugo_anthonyi,?
Hypsugo_joffrei,?
Hypsugo_kitcheneri,?
Hypsugo_lophurus,?
Hypsugo_macrotis,?
Hypsugo_savii,0
Hypsugo_vordermanni,?
Ia_io,?
Idionycteris_phyllotis,?
Kerivoula_africana,?
Kerivoula_agnella,?
Kerivoula_argentata,?
Kerivoula_cuprosa,?
Kerivoula_eriophora,?
Kerivoula_flora,?
Kerivoula_hardwickii,?
Kerivoula_intermedia,?
Kerivoula_kachinensis,?
Kerivoula_krauensis,?
Kerivoula_lanosa,?
Kerivoula_lenis,?
Kerivoula_minuta,?
Kerivoula_muscina,?
Kerivoula_myrella,?
Kerivoula_papillosa,?
Kerivoula_pellucida,?
Kerivoula_phalaena,?
Kerivoula_picta,?
Kerivoula_smithii,?
Kerivoula_titania,?
Kerivoula_whiteheadi,?
Laephotis_angolensis,?
Laephotis_botswanae,?
Laephotis_namibensis,?
Laephotis_wintoni,?
Lasionycteris_noctivagans,0
Lasiurus_atratus,?
Lasiurus_blossevillii,?
Lasiurus_borealis,0
Lasiurus_castaneus,?
Lasiurus_cinereus,0
Lasiurus_degelidus,?
Lasiurus_ebenus,?
Lasiurus_ega,0
Lasiurus_egregius,?
Lasiurus_insularis,?
Lasiurus_intermedius,?
Lasiurus_minor,?
Lasiurus_pfeifferi,?
Lasiurus_seminolus,0
Lasiurus_varius,?
Lasiurus_xanthinus,0
Mimetillus_moloneyi,?
Murina_aenea,?
Murina_aurata,?
Murina_cyclotis,?
Murina_florium,?
Murina_fusca,?
Murina_harrisoni,?
Murina_hilgendorfi,?
Murina_huttoni,?
Murina_leucogaster,?
Murina_puta,?
Murina_rozendaali,?
Murina_ryukyuana,?
Murina_suilla,?
Murina_tenebrosa,?
Murina_tubinaris,?
Murina_ussuriensis,?
Myotis_adversus,?
Myotis_aelleni,?
Myotis_albescens,?
Myotis_alcathoe,?
Myotis_altarium,?
Myotis_anjouanensis,?
Myotis_annamiticus,?
Myotis_annectans,?
Myotis_atacamensis,?
Myotis_ater,?
Myotis_aurascens,?
Myotis_auriculus,?
Myotis_australis,?
Myotis_austroriparius,0
Myotis_bechsteinii,1
Myotis_blythii,0
Myotis_bocagii,0
Myotis_bombinus,?
Myotis_brandtii,0
Myotis_bucharensis,?
Myotis_californicus,0
Myotis_capaccinii,1
Myotis_chiloensis,?
Myotis_chinensis,?
Myotis_ciliolabrum,0
Myotis_cobanensis,?
Myotis_csorbai,?
Myotis_dasycneme,0
Myotis_daubentonii,1
Myotis_davidii,?
Myotis_dieteri,?
Myotis_dinellii,?
Myotis_dominicensis,?
Myotis_elegans,?
Myotis_emarginatus,?
Myotis_evotis,0
Myotis_fimbriatus,?
Myotis_findleyi,?
Myotis_formosus,?
Myotis_fortidens,?
Myotis_frater,?
Myotis_gomantongensis,?
Myotis_goudoti,?
Myotis_grisescens,0
Myotis_hajastanicus,?
Myotis_hasseltii,?
Myotis_hermani,?
Myotis_horsfieldii,?
Myotis_ikonnikovi,?
Myotis_insularum,?
Myotis_keaysi,?
Myotis_keenii,0
Myotis_laniger,?
Myotis_leibii,?
Myotis_levis,?
Myotis_longipes,?
Myotis_lucifugus,1
Myotis_macrodactylus,?
Myotis_macropus,?
Myotis_macrotarsus,?
Myotis_martiniquensis,?
Myotis_melanorhinus,?
Myotis_moluccarum,?
Myotis_montivagus,?
Myotis_morrisi,?
Myotis_muricola,?
Myotis_myotis,1
Myotis_mystacinus,1
Myotis_nattereri,1
Myotis_nesopolus,?
Myotis_nigricans,?
Myotis_nipalensis,?
Myotis_nyctor,?
Myotis_occultus,?
Myotis_oreias,?
Myotis_oxyotus,?
Myotis_peninsularis,?
Myotis_pequinius,?
Myotis_pilosus,?
Myotis_planiceps,?
Myotis_pruinosus,?
Myotis_punicus,?
Myotis_ridleyi,?
Myotis_riparius,?
Myotis_rosseti,?
Myotis_ruber,?
Myotis_rufopictus,?
Myotis_schaubi,?
Myotis_scotti,?
Myotis_septentrionalis,0
Myotis_sicarius,?
Myotis_siligorensis,?
Myotis_simus,?
Myotis_sodalis,0
Myotis_stalkeri,?
Myotis_thysanodes,?
Myotis_tricolor,?
Myotis_velifer,0
Myotis_vivesi,?
Myotis_volans,0
Myotis_welwitschii,?
Myotis_yanbarensis,?
Myotis_yumanensis,0
Neoromicia_brunnea,?
Neoromicia_capensis,?
Neoromicia_flavescens,?
Neoromicia_guineensis,?
Neoromicia_helios,?
Neoromicia_malagasyensis,?
Neoromicia_matroka,?
Neoromicia_melckorum,?
Neoromicia_nana,0
Neoromicia_rendalli,?
Neoromicia_somalica,?
Neoromicia_tenuipinnis,?
Neoromicia_zuluensis,?
Nyctalus_aviator,?
Nyctalus_azoreum,?
Nyctalus_furvus,?
Nyctalus_lasiopterus,?
Nyctalus_leisleri,1
Nyctalus_montanus,?
Nyctalus_noctula,1
Nyctalus_plancyi,?
Nycticeinops_schlieffeni,?
Nycticeius_cubanus,?
Nycticeius_humeralis,0
Nyctophilus_arnhemensis,?
Nyctophilus_bifax,?
Nyctophilus_geoffroyi,?
Nyctophilus_gouldi,?
Nyctophilus_heran,?
Nyctophilus_howensis,?
Nyctophilus_microdon,?
Nyctophilus_microtis,?
Nyctophilus_nebulosus,?
Nyctophilus_sherrini,?
Nyctophilus_walkeri,?
Otonycteris_hemprichii,0
Pharotis_imogene,?
Philetor_brachypterus,?
Phoniscus_atrox,?
Phoniscus_jagorii,?
Phoniscus_papuensis,?
Pipistrellus_abramus,?
Pipistrellus_adamsi,?
Pipistrellus_aero,?
Pipistrellus_alaschanicus,?
Pipistrellus_anchietae,?
Pipistrellus_angulatus,?
Pipistrellus_arabicus,?
Pipistrellus_ariel,?
Pipistrellus_cadornae,?
Pipistrellus_ceylonicus,?
Pipistrellus_collinus,?
Pipistrellus_coromandra,?
Pipistrellus_crassulus,?
Pipistrellus_eisentrauti,?
Pipistrellus_endoi,?
Pipistrellus_hanaki,?
Pipistrellus_hesperidus,?
Pipistrellus_hesperus,0
Pipistrellus_imbricatus,?
Pipistrellus_inexspectatus,?
Pipistrellus_javanicus,?
Pipistrellus_kuhlii,0
Pipistrellus_maderensis,?
Pipistrellus_minahassae,?
Pipistrellus_murrayi,?
Pipistrellus_musciculus,?
Pipistrellus_nanulus,?
Pipistrellus_nathusii,0
Pipistrellus_papuanus,?
Pipistrellus_paterculus,?
Pipistrellus_permixtus,?
Pipistrellus_pipistrellus,1
Pipistrellus_pulveratus,?
Pipistrellus_pygmaeus,0
Pipistrellus_raceyi,?
Pipistrellus_rueppellii,?
Pipistrellus_rusticus,?
Pipistrellus_stenopterus,?
Pipistrellus_subflavus,0
Pipistrellus_tenuis,?
Pipistrellus_wattsi,?
Pipistrellus_westralis,?
Plecotus_auritus,1
Plecotus_austriacus,0
Plecotus_balensis,?
Plecotus_christii,?
Plecotus_kolombatovici,?
Plecotus_macrobullaris,?
Plecotus_ognevi,?
Plecotus_sacrimontis,?
Plecotus_sardus,?
Plecotus_taivanus,?
Plecotus_teneriffae,?
Rhogeessa_aeneus,?
Rhogeessa_alleni,?
Rhogeessa_genowaysi,?
Rhogeessa_gracilis,?
Rhogeessa_hussoni,?
Rhogeessa_io,?
Rhogeessa_minutilla,?
Rhogeessa_mira,?
Rhogeessa_parvula,?
Rhogeessa_tumida,?
Scoteanax_rueppellii,?
Scotoecus_albofuscus,?
Scotoecus_hirundo,?
Scotoecus_pallidus,?
Scotomanes_ornatus,?
Scotophilus_borbonicus,?
Scotophilus_celebensis,?
Scotophilus_collinus,?
Scotophilus_dinganii,?
Scotophilus_heathii,?
Scotophilus_kuhlii,0
Scotophilus_leucogaster,?
Scotophilus_marovaza,?
Scotophilus_nigrita,?
Scotophilus_nucella,?
Scotophilus_nux,?
Scotophilus_robustus,?
Scotophilus_tandrefana,?
Scotophilus_viridis,?
Scotorepens_balstoni,?
Scotorepens_greyii,?
Scotorepens_orion,?
Scotorepens_sanborni,?
Scotozous_dormeri,?
Tylonycteris_pachypus,?
Tylonycteris_robustula,?
Vespadelus_baverstocki,?
Vespadelus_caurinus,?
Vespadelus_darlingtoni,?
Vespadelus_douglasorum,?
Vespadelus_finlaysoni,?
Vespadelus_pumilus,?
Vespadelus_regulus,?
Vespadelus_troughtoni,?
Vespadelus_vulturnus,?
Vespertilio_murinus,0
Vespertilio_sinensis,?
