Taxon,SSB
Peromyscus_spicilegus,?
Peromyscus_stephani,?
Peromyscus_stirtoni,?
Peromyscus_truei,0
Peromyscus_winkelmanni,?
Peromyscus_yucatanicus,?
Peromyscus_zarhynchus,?
Phaenomys_ferrugineus,?
Phaiomys_leucurus,?
Phenacomys_intermedius,0
Phenacomys_ungava,?
Phodopus_campbelli,0
Phodopus_roborovskii,0
Phodopus_sungorus,0
Phyllotis_amicus,?
Phyllotis_andium,?
Phyllotis_anitae,?
Phyllotis_bonariensis,?
Phyllotis_caprinus,?
Phyllotis_darwini,0
Phyllotis_definitus,?
Phyllotis_gerbillus,?
Phyllotis_haggardi,?
Phyllotis_limatus,?
Phyllotis_magister,?
Phyllotis_osgoodi,?
Phyllotis_osilae,0
Phyllotis_wolffsohni,?
Phyllotis_xanthopygus,0
Pliomys_lenki,?
Podomys_floridanus,?
Podoxymys_roraimae,?
Proedromys_bedfordi,?
Proedromys_liangshanensis,?
Prometheomys_schaposchnikowi,?
Pseudoryzomys_simplex,0
Punomys_kofordi,?
Punomys_lemminus,?
Reithrodon_auritus,0
Reithrodon_typicus,?
Reithrodontomys_bakeri,?
Reithrodontomys_brevirostris,?
Reithrodontomys_burti,?
Reithrodontomys_chrysopsis,0
Reithrodontomys_creper,?
Reithrodontomys_darienensis,?
Reithrodontomys_fulvescens,0
Reithrodontomys_gracilis,?
Reithrodontomys_hirsutus,?
Reithrodontomys_humulis,0
Reithrodontomys_megalotis,0
Reithrodontomys_mexicanus,?
Reithrodontomys_microdon,?
Reithrodontomys_montanus,0
Reithrodontomys_paradoxus,?
Reithrodontomys_raviventris,?
Reithrodontomys_rodriguezi,?
Reithrodontomys_spectabilis,?
Reithrodontomys_sumichrasti,?
Reithrodontomys_tenuirostris,?
Reithrodontomys_zacatecae,?
Rhagomys_longilingua,?
Rhagomys_rufescens,?
Rheomys_mexicanus,?
Rheomys_raptor,?
Rheomys_thomasi,?
Rheomys_underwoodi,?
Rhipidomys_austrinus,?
Rhipidomys_cariri,?
Rhipidomys_caucensis,?
Rhipidomys_couesi,?
Rhipidomys_emiliae,?
Rhipidomys_fulviventer,?
Rhipidomys_gardneri,?
Rhipidomys_latimanus,?
Rhipidomys_leucodactylus,?
Rhipidomys_macconnelli,?
Rhipidomys_macrurus,?
Rhipidomys_mastacalis,0
Rhipidomys_modicus,?
Rhipidomys_nitela,?
Rhipidomys_ochrogaster,?
Rhipidomys_venezuelae,?
Rhipidomys_venustus,?
Rhipidomys_wetzeli,?
Salinomys_delicatus,?
Scapteromys_aquaticus,?
Scapteromys_tumidus,?
Scolomys_melanops,?
Scolomys_ucayalensis,?
Scotinomys_teguina,?
Scotinomys_xerampelinus,?
Sigmodon_alleni,?
Sigmodon_alstoni,0
Sigmodon_arizonae,?
Sigmodon_fulviventer,0
Sigmodon_hirsutus,?
Sigmodon_hispidus,0
Sigmodon_inopinatus,?
Sigmodon_leucotis,0
Sigmodon_mascotensis,?
Sigmodon_ochrognathus,?
Sigmodon_peruanus,?
Sigmodon_planifrons,?
Sigmodon_toltecus,?
Sigmodontomys_alfari,?
Sigmodontomys_aphrastus,?
Sooretamys_angouya,?
Synaptomys_borealis,?
Synaptomys_cooperi,0
Tapecomys_primus,?
Thalpomys_cerradensis,0
Thalpomys_lasiotis,0
Thaptomys_nigrita,?
Thomasomys_apeco,?
Thomasomys_aureus,?
Thomasomys_baeops,?
Thomasomys_bombycinus,?
Thomasomys_caudivarius,?
Thomasomys_cinereiventer,?
Thomasomys_cinereus,?
Thomasomys_cinnameus,?
Thomasomys_daphne,?
Thomasomys_eleusis,?
Thomasomys_erro,?
Thomasomys_gracilis,?
Thomasomys_hudsoni,?
Thomasomys_hylophilus,?
Thomasomys_incanus,?
Thomasomys_ischyrus,?
Thomasomys_kalinowskii,?
Thomasomys_ladewi,?
Thomasomys_laniger,?
Thomasomys_macrotis,?
Thomasomys_monochromos,?
Thomasomys_niveipes,?
Thomasomys_notatus,?
Thomasomys_onkiro,?
Thomasomys_oreas,?
Thomasomys_paramorum,?
Thomasomys_popayanus,?
Thomasomys_praetor,?
Thomasomys_pyrrhonotus,?
Thomasomys_rosalinda,?
Thomasomys_silvestris,?
Thomasomys_taczanowskii,?
Thomasomys_ucucha,?
Thomasomys_vestitus,?
Thomasomys_vulcani,?
