Taxon,SSB
Prosciurillus_murinus,?
Prosciurillus_rosenbergii,?
Prosciurillus_weberi,?
Protoxerus_aubinnii,?
Protoxerus_stangeri,0
Pteromys_momonga,?
Pteromys_volans,0
Pteromyscus_pulverulentus,?
Ratufa_affinis,0
Ratufa_bicolor,0
Ratufa_indica,0
Ratufa_macroura,?
Rheithrosciurus_macrotis,?
Rhinosciurus_laticaudatus,0
Rubrisciurus_rubriventer,?
Sciurillus_pusillus,?
Sciurotamias_davidianus,?
Sciurotamias_forresti,?
Sciurus_aberti,0
Sciurus_aestuans,?
Sciurus_alleni,?
Sciurus_anomalus,?
Sciurus_arizonensis,?
Sciurus_aureogaster,0
Sciurus_carolinensis,1
Sciurus_colliaei,?
Sciurus_deppei,0
Sciurus_flammifer,?
Sciurus_gilvigularis,?
Sciurus_granatensis,0
Sciurus_griseus,0
Sciurus_ignitus,?
Sciurus_igniventris,0
Sciurus_lis,?
Sciurus_nayaritensis,?
Sciurus_niger,0
Sciurus_oculatus,?
Sciurus_pucheranii,0
Sciurus_pyrrhinus,?
Sciurus_richmondi,?
Sciurus_sanborni,?
Sciurus_spadiceus,0
Sciurus_stramineus,?
Sciurus_variegatoides,0
Sciurus_vulgaris,0
Sciurus_yucatanensis,?
Spermophilopsis_leptodactylus,?
Spermophilus_alashanicus,?
Spermophilus_brevicauda,?
Spermophilus_citellus,0
Spermophilus_dauricus,?
Spermophilus_erythrogenys,0
Spermophilus_fulvus,0
Spermophilus_major,?
Spermophilus_musicus,?
Spermophilus_pallidicauda,?
Spermophilus_pygmaeus,0
Spermophilus_ralli,?
Spermophilus_relictus,0
Spermophilus_suslicus,0
Spermophilus_taurensis,?
Spermophilus_xanthoprymnus,?
Sundasciurus_brookei,?
Sundasciurus_davensis,?
Sundasciurus_fraterculus,?
Sundasciurus_hippurus,0
Sundasciurus_hoogstraali,?
Sundasciurus_jentinki,?
Sundasciurus_juvencus,?
Sundasciurus_lowii,0
Sundasciurus_mindanensis,?
Sundasciurus_moellendorffi,?
Sundasciurus_philippinensis,?
Sundasciurus_rabori,?
Sundasciurus_samarensis,?
Sundasciurus_steerii,0
Sundasciurus_tenuis,0
Syntheosciurus_brochus,?
Tamias_striatus,0
Tamiasciurus_douglasii,1
Tamiasciurus_hudsonicus,1
Tamiasciurus_mearnsi,0
Tamiops_macclellandii,0
Tamiops_maritimus,?
Tamiops_rodolphii,?
Tamiops_swinhoei,?
Trogopterus_xanthipes,?
Urocitellus_armatus,0
Urocitellus_beldingi,0
Urocitellus_brunneus,?
Urocitellus_canus,?
Urocitellus_columbianus,0
Urocitellus_elegans,0
Urocitellus_mollis,0
Urocitellus_parryii,0
Urocitellus_richardsonii,0
Urocitellus_townsendii,0
Urocitellus_undulatus,0
Urocitellus_washingtoni,0
Xerospermophilus_mohavensis,0
Xerospermophilus_perotensis,?
Xerospermophilus_spilosoma,0
Xerospermophilus_tereticaudus,0
Xerus_erythropus,0
Xerus_inauris,0
Xerus_princeps,?
Xerus_rutilus,0
