(Intercept),NAC1,PC,SPI1,GP,FWA,MR,TSP1
-234.391355436324,161.56940353947,41.3308753553301,-128.479888003064,94.5122705775866,22.4719272587217,-2300.43504203236,-47.7140572171675
-498.654448656525,141.68784042685,-55.2496279063926,-274.862056336278,13.6216554667626,22.0147243169754,-2653.87351164391,-36.4699397421364
-566.517677862837,148.194242429192,33.6274176868465,-173.891186009649,100.066825616261,20.6596156114392,-4277.12795621432,0.843512440900668
-1040.48328263339,120.683899397874,9.61834814422582,-169.718728847962,84.5824493558102,18.8702541986277,-18457.5098175136,0.513263397635455
-1002.94726562989,127.759733435669,-30.2105880546442,-171.855402723944,29.4277446790657,15.3574826989407,-9131.64893001739,-44.3528879329679
235.777143581377,150.112156046482,-9.39822946993809,-182.48957128542,98.3995556306036,51.8226614245505,8166.47583987452,-257.489198867479
-789.473235889451,146.497967526346,-8.00179321104224,-151.097259072558,14.1012925242976,58.2360754126421,-9890.49990150836,-94.2201299572771
-574.847380915686,111.21497527849,87.2545466780721,-147.827851566457,115.718728415086,54.6922711346124,-4031.07059878865,47.4798615451436
-501.875411192203,152.528538456681,23.9780761301081,-179.808136415173,6.96612772237131,32.2343243308569,-4247.51281353192,-90.1494103291188
213.344133850194,268.746304046654,15.3647728111537,-286.954014590912,5.01680924242828,24.9090299366653,8150.77333179102,-102.885408365008
59.8150690235198,84.8228793009293,33.4912279073906,-37.5056797205907,32.302497560464,63.094884564227,3749.64564047454,20.5822218462708
-871.838252382746,84.6416597750504,-42.2861170009128,-99.9975054566894,2.36162615548528,32.0352174313884,-6560.28793600957,28.6790047579125
-416.237141084423,66.7905023405619,-20.7208711053245,-153.758736221713,93.1138817288593,-5.63154962070985,-1520.77957604887,14.4880609704705
-754.445390674548,106.647929021332,-22.6005617445553,-173.320590867443,136.242761815032,-21.8135125675253,-10260.3157972009,-74.7587558014202
-618.154193037613,245.963591665852,-75.9249776079414,-146.051123171475,68.1455736421049,33.6435261218285,-7320.69239295452,-79.4999161865853
-352.720706647073,123.9067439237,-93.9077640023606,-168.518126038965,-14.7065295778302,27.285246700103,-2182.89633164149,-83.1794013378167
-316.126759664105,91.413129508066,65.8402142368577,-113.943533170619,7.15942911985621,88.9802811502232,1402.50608792567,-27.534974327893
-869.790733481444,140.880037347029,-36.7606162478087,-250.741461060039,86.1844254517273,42.4110829533747,-15589.1422101215,-41.1826151182468
-921.663424906011,42.9531407649945,-29.7108112152637,-132.055294622893,126.371583663145,25.0871225156006,-6819.48314393999,-99.6002195359943
137.849851403604,63.395809435242,-75.0683854654999,-123.555556376268,71.8580535645451,34.2799548484963,4050.32055510946,-107.811043126167
-1060.26577811938,291.165770220148,-54.7095402371851,-314.904919388122,97.1576773103561,5.2911144187965,-17313.5234961033,-46.3357589935185
-562.284047419744,133.047881981358,-41.0861747900017,-122.071930730774,41.0277394745208,55.7467841294419,-8965.44175379688,-149.325073428219
172.94284234618,122.937684983975,-83.288201418618,-222.38679360917,95.9092419636145,24.0645162943256,2684.94408694487,-175.301679024924
-751.372244105929,160.521687151879,-22.2496389800799,-184.399195186139,0.964813045061419,42.1775424142252,-9803.43994536411,21.8578550129751
-400.377145398059,225.741620068475,-164.848063044512,-330.975357700685,67.5064936729614,19.8470878415537,-5823.4608034353,-186.568431174674
-1372.6687211768,165.302755748591,-84.031315487402,-122.047809750045,95.8366503295547,14.6702128171964,-15047.6873217275,-210.701402080944
-1335.3294124214,193.937134658419,-6.9590205042914,-135.224662206601,99.3862429659348,-15.1601118822873,-14346.1990908078,-106.907955347036
456.821072225248,128.788489909042,-97.1302425319736,-230.690871293307,87.2370537348033,17.3791056459741,2150.42144334192,-36.2815741306549
-499.602888998925,156.972391888572,-32.5716044179499,-140.883573625732,64.4271836103871,55.9443916877499,-513.761128046384,-191.474233167959
-97.4736374215427,149.28492844406,-16.3697375966294,-124.500458705029,153.660389709832,43.3138749106583,5482.82927126886,-119.037027326412
-2255.85455279386,201.667831857238,-77.0961427635339,-23.211454653705,77.6508250160696,8.35684512300941,-19243.2643600472,-163.434858289816
-368.205910222576,56.2029562328607,53.1939508879186,-94.6334216158648,34.2980864477868,50.8999664314106,-1907.21816652256,109.776796933613
-750.801437646252,88.7805049541166,78.9940965924388,-64.9229015035817,92.0678923664236,25.1319598277769,-13777.5369436786,-59.521703799739
-1006.08465690921,122.111616029142,-56.1327988387056,-234.033482375409,73.0109098619578,6.17478907415352,-14379.7591373168,91.7106764392229
-575.755344460829,77.0868857562164,-3.92079710411053,-206.241823858916,89.4745909903868,51.8175649974582,-8062.98025347239,-12.5993337431573
-1290.66672323961,211.829576499338,-50.5677391832869,-222.566259097875,136.180411179914,-14.6058428187316,-19818.9411576605,-207.543486264054
70.1253118398599,138.768789447349,-34.4316108094645,-117.358088155204,105.952189137519,26.1013316579374,3101.3057765602,-89.4426347376429
-608.805507080222,110.489555662323,-130.292969609211,-75.6751496225406,59.4579765897506,-2.71460072736954,-8786.12478452566,-136.262766227999
-860.092257673641,115.360631020645,-47.9091283119342,-112.40497937621,80.7148516148736,18.3479264355992,-12696.0118143774,-55.5903834159581
-579.46518531951,106.415565955627,-124.679823076949,-204.50851861206,-3.31852721967152,62.3017321650404,-7247.86273525277,-136.112023956848
-576.473044576152,90.4857103265531,-54.3826051843935,-170.223474394006,76.4379512795131,8.23962596824276,-6697.22275788596,-60.5893794638396
-860.952441757203,209.909975351118,-168.628715481384,-173.988936854759,30.8170190318051,-7.50310749929758,-8922.84806385331,-89.5060195378865
-41.3440238477779,215.892993810965,-69.9629045010661,-113.640350544389,85.1203281322596,0.981162933210726,985.321318891889,-84.5753336390626
-702.680542199298,217.073015404036,-102.05695069411,-109.928358674224,22.6449477600763,58.5284633121773,-8726.41601913195,-107.603674731043
-690.962142740464,164.308189988824,-16.2245366745283,-143.877580285116,49.6452613110778,32.9501304388541,-5592.73792392242,-145.829798770879
-1683.72809079068,291.184408785542,-96.3302169862727,-299.008497105649,11.4005385689379,7.78877121361074,-22462.0796269014,-14.5082727961417
