Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
22	-209.9435	-212.261	2.317557	0.001803025	0.4440686	0.000883892	0.217695	0.00272216	0.670443	0.490227	1.50977	0.8338491	0.569827	1.75492	0.00180303	0.444069	0.03771742	0.0377174	0.0377174	0.0996266	0.0155743	0.151198	0.733601	0.03529168	0.5643743	0.0195524	0.312676	0.051031	0.816073	0.554022	1.44598	0.7111566	0.618989	1.61554	0.0352917	0.564374	0.017688	0.0849972
23	-207.7	-212.3217	4.621714	9.389515e-06	0.4440686	2.00804e-06	0.0949684	1.6771e-05	0.793169	0.21386	1.78614	1.573406	0.346024	2.88997	9.38952e-06	0.444069	0.03771742	0.0377174	0.0377174	0.0996266	0.0155743	0.151198	0.733601	0.02651313	0.5643743	0.00236049	0.0502469	0.0506658	1.0785	0.0890311	1.91097	2.273111	0.215846	4.63293	0.0265131	0.564374	0.00829097	0.0849972
24	-218.0372	-211.9333	-6.103852	0.008933024	0.4440686	0.00191041	0.0949684	0.0159556	0.793169	0.21386	1.78614	1.573406	0.346024	2.88997	0.00893302	0.444069	0.0762355	0.0762355	0.0762355	0.10089	0.00309377	0.153115	0.742902	0.04249104	0.5643743	0.00378302	0.0502469	0.0811991	1.0785	0.0890311	1.91097	2.273111	0.215846	4.63293	0.042491	0.564374	0.0167981	0.0849972
25	-216.7241	-215.4072	-1.316936	0.008933024	0.4440686	0.000575098	0.0285886	0.017291	0.859549	0.0643788	1.93562	2.522943	0.182373	5.48326	0.00893302	0.444069	0.03501032	0.0350103	0.0350103	0.104303	0.00319845	0.12446	0.768038	0.04410883	0.5643743	0.0026601	0.034036	0.0855576	1.09471	0.0603075	1.93969	2.572928	0.176327	5.67127	0.0441088	0.564374	0.007737	0.0390286
26	-215.9537	-216.1736	0.2199138	0.008933024	0.4440686	0.000575098	0.0285886	0.017291	0.859549	0.0643788	1.93562	2.522943	0.182373	5.48326	0.00893302	0.444069	0.01288859	0.0128886	0.0128886	0.104303	0.00319845	0.12446	0.768038	0.026701	0.5643743	0.00161027	0.034036	0.0517917	1.09471	0.0603075	1.93969	2.572928	0.176327	5.67127	0.026701	0.564374	0.0155283	0.0390286
27	-212.7524	-215.3557	2.603307	0.0001632295	0.4440686	1.05085e-05	0.0285886	0.00031595	0.859549	0.0643788	1.93562	2.522943	0.182373	5.48326	0.000163229	0.444069	0.02801789	0.0280179	0.0280179	0.543328	0.0166611	0.409323	0.0306883	0.03215648	0.5643743	0.00395149	0.0693521	0.0603615	1.0594	0.122883	1.87712	2.020978	0.255859	3.9084	0.0321565	0.564374	0.0332543	0.0390286
28	-217.4281	-218.5675	1.139425	0.009493712	0.4440686	0.000611194	0.0285886	0.0183762	0.859549	0.0643788	1.93562	2.522943	0.182373	5.48326	0.00949371	0.444069	0.02252586	0.0225259	0.0225259	0.738687	0.023174	0.195454	0.0426845	0.03594124	0.5643743	0.0060716	0.0953405	0.0658109	1.03341	0.168931	1.83107	1.766641	0.303741	3.29228	0.0359412	0.564374	0.0239303	0.0223056
29	-210.6241	-216.4042	5.780069	5.319662e-06	0.4440686	2.52632e-06	0.21089	8.113e-06	0.677248	0.474903	1.5251	0.8648775	0.558025	1.79203	5.31966e-06	0.444069	0.01697308	0.0169731	0.0169731	0.700223	0.0740385	0.185277	0.0404618	0.03594124	0.5643743	0.00482078	0.0756993	0.0670617	1.05305	0.13413	1.86587	1.951606	0.268115	3.72974	0.0359412	0.564374	0.0239303	0.101999
30	-202.6912	-219.4635	16.77228	2.265952e-06	0.4440686	1.76684e-06	0.346256	2.76506e-06	0.541882	0.779735	1.22027	0.3320064	0.799367	1.25099	2.26595e-06	0.444069	0.01994548	0.0199455	0.0199455	0.262121	0.0990923	0.584632	0.0541537	0.04611072	0.03006825	0.0130055	0.00848074	0.0792159	0.0516558	0.28205	1.71795	1.339386	0.405189	2.46799	0.0461107	0.0300682	0.0208055	0.0259038
31	-190.4785	-218.6367	28.15821	1.843152e-06	0.004925316	1.43717e-06	0.00384044	2.24913e-06	0.00601019	0.779735	1.22027	0.3320064	0.799367	1.25099	1.84315e-06	0.00492532	0.008430593	0.00843059	0.00843059	0.652446	0.130515	0.145712	0.0713263	0.04611072	0.0002088822	0.027042	0.000122501	0.0651794	0.000295264	0.586458	1.41354	0.652162	0.644116	1.55252	0.0461107	0.000208882	0.0321179	0.0186504
32	-194.0852	-218.7894	24.70425	0.0007558312	0.08655554	0.000589348	0.0674904	0.000922315	0.105621	0.779735	1.22027	0.3320064	0.799367	1.25099	0.000755831	0.0865555	0.002586378	0.00258638	0.00258638	0.390493	0.228886	0.255537	0.125085	0.04611072	4.863208e-06	0.0323653	3.41351e-06	0.0598561	6.31291e-06	0.701905	1.2981	0.4557934	0.735336	1.35992	0.0461107	4.86321e-06	0.0321179	0.00601681
33	-190.8798	-220.3133	29.43345	1.944417e-06	0.08031168	1.84442e-06	0.0761814	2.04441e-06	0.0844419	0.948572	1.05143	0.07631445	0.949829	1.05282	1.94442e-06	0.0803117	0.03591327	0.0359133	0.0359133	0.556405	0.192066	0.146565	0.104964	0.06776161	8.077035e-06	0.0544372	6.48879e-06	0.0810861	9.66528e-06	0.803363	1.19664	0.2953819	0.81936	1.22047	0.0677616	8.07704e-06	0.0160938	0.00428691
34	-190.7507	-219.7715	29.02079	5.829085e-05	0.02089653	4.76422e-05	0.0170791	6.89395e-05	0.0247139	0.817318	1.18268	0.2739192	0.831307	1.20292	5.82909e-05	0.0208965	0.005696197	0.0056962	0.0056962	0.556405	0.192066	0.146565	0.104964	0.06776161	1.194609e-05	0.0593285	1.04594e-05	0.0761947	1.34328e-05	0.875548	1.12445	0.185475	0.882408	1.13326	0.0677616	1.19461e-05	0.0160938	0.00428691
35	-189.3576	-219.2101	29.85251	0.0001452711	1.679113e-06	0.000118733	1.37237e-06	0.000171809	1.98586e-06	0.817318	1.18268	0.2739192	0.831307	1.20292	0.000145271	1.67911e-06	0.006204053	0.00620405	0.00620405	0.121497	0.159133	0.121434	0.597936	0.06776161	0.006592084	0.0593285	0.00577168	0.0761947	0.00741248	0.875548	1.12445	0.185475	0.882408	1.13326	0.0677616	0.00659208	0.0297977	0.00905953
36	-198.4797	-218.2728	19.79311	0.0001452711	9.670128e-05	1.88019e-05	1.25157e-05	0.00027174	0.000180887	0.129426	1.87057	1.979934	0.263041	3.80169	0.000145271	9.67013e-05	0.03148101	0.031481	0.031481	0.121497	0.159133	0.121434	0.597936	0.08593411	0.0186265	0.0752394	0.0163084	0.0966288	0.0209446	0.875548	1.12445	0.185475	0.882408	1.13326	0.0859341	0.0186265	0.0297977	0.00905953
37	-197.4237	-220.2445	22.82074	0.0001452711	0.0002892568	1.88019e-05	3.74374e-05	0.00027174	0.000541076	0.129426	1.87057	1.979934	0.263041	3.80169	0.000145271	0.000289257	0.001741826	0.00174183	0.00174183	0.0917374	0.365096	0.0916897	0.451477	0.06452467	0.0186265	0.0564944	0.0163084	0.0725549	0.0209446	0.875548	1.12445	0.185475	0.882408	1.13326	0.0645247	0.0186265	0.0123286	0.00313887
38	-190.8068	-219.0446	28.23773	1.445866e-05	5.480962e-06	1.87133e-06	7.0938e-07	2.7046e-05	1.02525e-05	0.129426	1.87057	1.979934	0.263041	3.80169	1.44587e-05	5.48096e-06	0.001528547	0.00152855	0.00152855	0.138	0.226167	0.0567994	0.579033	0.06452467	0.0186265	0.0581458	0.0167851	0.0709036	0.0204679	0.90114	1.09886	0.1470506	0.905576	1.10427	0.0645247	0.0186265	0.0211165	0.00732813
39	-195.013	-217.9165	22.90355	1.445866e-05	3.130368e-05	4.2268e-07	9.15122e-07	2.84946e-05	6.16922e-05	0.0292337	1.97077	3.121512	0.121794	8.21062	1.44587e-05	3.13037e-05	0.01211518	0.0121152	0.0121152	0.141144	0.145831	0.0366238	0.676401	0.06452467	0.0186265	0.047608	0.0137431	0.0814414	0.0235099	0.737826	1.26217	0.3979916	0.76457	1.30792	0.0645247	0.0186265	0.0215005	0.0132663
